Label,Definition
Censuses,"Surveys of an entire population, as opposed to a sample survey. Often used for official enumerations of a population, usually including the collection of related demographic information. Note that in some countries censuses are not used as demographic information can be obtained from official registers."
Migration,"Includes immigration, emigration, internal migration as well as other types of geographical mobility. Immigration means coming to settle in another country than one's home country. Emigration means leaving one's home country to settle in another country. Migration is an umbrella term for both. Migration also includes internal migration, that is, movement of people within one country at different geographical levels."
Morbidity and mortality,"Morbidity refers to incidence of ill health in a population. Data may cover the incidence or morbidity rate of a medical condition. For example, the number of people who suffer from lung cancer in a country or a geographic area during a single year. Mortality data indicate the numbers of deaths in a population by place, time, cause, or type of individual etc. For example, maternal mortality rate, child mortality rate. Use note: Self-reported survey data on illnesses and medical conditions are indexed with HEALTH hierarchy topics."
Consumption and consumer behaviour,"Refers to the act of acquiring and/or using something to meet the needs and wants of a person, community or society. Data in this category include patterns of consumer behaviour, changes in them, and data on consumer ethics. For example, survey data on how often people buy certain items; when and where they shop; whether ethical considerations affect their consumer choices."
Economic conditions and indicators,"Economic indicators indicate in which direction an economy is headed and include, for example, GDP growth rate, employment, inflation and interest rate, consumer and investor activity, household debt. Use note: This topic is also used for economic conditions of individuals and households which are surveyed or registered."
"Economic policy, public expenditure and revenue","Data on economic policy, including budget and fiscal policy, public expenditure and public revenue."
Economic systems and development,"Data covering capitalist, socialist and other economic systems and data on, for example, international development programs."
"Income, property and investment/saving","Data on the accumulation of personal assets, including income, property, investments and savings."
Compulsory and pre-school education,"Compulsory education refers to the period of education that is required of all persons living in a country and is imposed by law. Pre-school education refers to formal childcare and education given prior to compulsory education. This topic covers data relating to pre-school, primary and lower secondary stages of education, regardless of whether the data focuses on students, teachers, subjects or skills taught, facilities etc."
Educational policy,"Discussions of policy and principles, and decisions made and principles adopted at national, regional or local level concerning education and its provision. Use note: For laws and regulations already implemen ted, use the topic 'Legislation and legal systems' as well."
Higher and further education,"Covers general education at ISCED levels 3-4 plus tertiary education, that is, upper secondary general education, and college, university of applied sciences, and university education. Includes data on students, teachers, subjects or skills taught, facilities etc."
