"ID";"FarmAnimals";"Periods";"Livestock_1"
"0";"A028972";"2018MM04";"    3897"
"1";"A028972";"2018MM12";"    3690"
"2";"A028972";"2019MM04";"    3750"
"3";"A028972";"2019MM12";"    3721"
"4";"A028972";"2020MM04";"    3766"
"5";"A028972";"2020MM12";"    3691"
"6";"A028972";"2021MM04";"    3732"
"7";"A028972";"2021MM12";"    3705"
"8";"A028972";"2022MM04";"    3766"
"9";"A028972";"2022MM12";"    3751"
"10";"A028972";"2023MM04";"    3752"
"11";"A028977";"2018MM04";"    1032"
"12";"A028977";"2018MM12";"     951"
"13";"A028977";"2019MM04";"     924"
"14";"A028977";"2019MM12";"     954"
"15";"A028977";"2020MM04";"     935"
"16";"A028977";"2020MM12";"     985"
"17";"A028977";"2021MM04";"     966"
"18";"A028977";"2021MM12";"     984"
"19";"A028977";"2022MM04";"     982"
"20";"A028977";"2022MM12";"    1006"
"21";"A028977";"2023MM04";"     991"
"22";"A043973";"2018MM04";"     438"
"23";"A043973";"2018MM12";"     407"
"24";"A043973";"2019MM04";"     410"
"25";"A043973";"2019MM12";"     434"
"26";"A043973";"2020MM04";"     439"
"27";"A043973";"2020MM12";"     455"
"28";"A043973";"2021MM04";"     451"
"29";"A043973";"2021MM12";"     449"
"30";"A043973";"2022MM04";"     453"
"31";"A043973";"2022MM12";"     463"
"32";"A043973";"2023MM04";"     455"
"33";"A043974";"2018MM04";"      45"
"34";"A043974";"2018MM12";"      47"
"35";"A043974";"2019MM04";"      43"
"36";"A043974";"2019MM12";"      52"
"37";"A043974";"2020MM04";"      41"
"38";"A043974";"2020MM12";"      54"
"39";"A043974";"2021MM04";"      41"
"40";"A043974";"2021MM12";"      48"
"41";"A043974";"2022MM04";"      40"
"42";"A043974";"2022MM12";"      51"
"43";"A043974";"2023MM04";"      41"
"44";"A043975";"2018MM04";"     447"
"45";"A043975";"2018MM12";"     399"
"46";"A043975";"2019MM04";"     388"
"47";"A043975";"2019MM12";"     373"
"48";"A043975";"2020MM04";"     373"
"49";"A043975";"2020MM12";"     394"
"50";"A043975";"2021MM04";"     399"
"51";"A043975";"2021MM12";"     405"
"52";"A043975";"2022MM04";"     413"
"53";"A043975";"2022MM12";"     412"
"54";"A043975";"2023MM04";"     416"
"55";"A043976";"2018MM04";"       8"
"56";"A043976";"2018MM12";"      10"
"57";"A043976";"2019MM04";"       8"
"58";"A043976";"2019MM12";"       9"
"59";"A043976";"2020MM04";"       8"
"60";"A043976";"2020MM12";"      10"
"61";"A043976";"2021MM04";"      10"
"62";"A043976";"2021MM12";"      10"
"63";"A043976";"2022MM04";"       9"
"64";"A043976";"2022MM12";"      10"
"65";"A043976";"2023MM04";"       9"
"66";"A043977";"2018MM04";"      93"
"67";"A043977";"2018MM12";"      88"
"68";"A043977";"2019MM04";"      74"
"69";"A043977";"2019MM12";"      86"
"70";"A043977";"2020MM04";"      74"
"71";"A043977";"2020MM12";"      72"
"72";"A043977";"2021MM04";"      65"
"73";"A043977";"2021MM12";"      72"
"74";"A043977";"2022MM04";"      67"
"75";"A043977";"2022MM12";"      71"
"76";"A043977";"2023MM04";"      70"
"77";"A028975";"2018MM04";"    1622"
"78";"A028975";"2018MM12";"    1552"
"79";"A028975";"2019MM04";"    1578"
"80";"A028975";"2019MM12";"    1590"
"81";"A028975";"2020MM04";"    1593"
"82";"A028975";"2020MM12";"    1569"
"83";"A028975";"2021MM04";"    1571"
"84";"A028975";"2021MM12";"    1554"
"85";"A028975";"2022MM04";"    1571"
"86";"A028975";"2022MM12";"    1570"
"87";"A028975";"2023MM04";"    1577"
"88";"A028979";"2018MM04";"     995"
"89";"A028979";"2018MM12";"     988"
"90";"A028979";"2019MM04";"    1005"
"91";"A028979";"2019MM12";"     978"
"92";"A028979";"2020MM04";"    1000"
"93";"A028979";"2020MM12";"     939"
"94";"A028979";"2021MM04";"     958"
"95";"A028979";"2021MM12";"     960"
"96";"A028979";"2022MM04";"     974"
"97";"A028979";"2022MM12";"     953"
"98";"A028979";"2023MM04";"     928"
"99";"A043978";"2018MM04";"     366"
"100";"A043978";"2018MM12";"     355"
"101";"A043978";"2019MM04";"     373"
"102";"A043978";"2019MM12";"     364"
"103";"A043978";"2020MM04";"     371"
"104";"A043978";"2020MM12";"     325"
"105";"A043978";"2021MM04";"     339"
"106";"A043978";"2021MM12";"     328"
"107";"A043978";"2022MM04";"     351"
"108";"A043978";"2022MM12";"     339"
"109";"A043978";"2023MM04";"     337"
"110";"A043979";"2018MM04";"     629"
"111";"A043979";"2018MM12";"     633"
"112";"A043979";"2019MM04";"     632"
"113";"A043979";"2019MM12";"     614"
"114";"A043979";"2020MM04";"     628"
"115";"A043979";"2020MM12";"     614"
"116";"A043979";"2021MM04";"     619"
"117";"A043979";"2021MM12";"     632"
"118";"A043979";"2022MM04";"     623"
"119";"A043979";"2022MM12";"     614"
"120";"A043979";"2023MM04";"     591"
"121";"A043980";"2018MM04";"     170"
"122";"A043980";"2018MM12";"     144"
"123";"A043980";"2019MM04";"     166"
"124";"A043980";"2019MM12";"     143"
"125";"A043980";"2020MM04";"     166"
"126";"A043980";"2020MM12";"     144"
"127";"A043980";"2021MM04";"     168"
"128";"A043980";"2021MM12";"     150"
"129";"A043980";"2022MM04";"     174"
"130";"A043980";"2022MM12";"     166"
"131";"A043980";"2023MM04";"     190"
"132";"A043981";"2018MM04";"      31"
"133";"A043981";"2018MM12";"      22"
"134";"A043981";"2019MM04";"      31"
"135";"A043981";"2019MM12";"      23"
"136";"A043981";"2020MM04";"      32"
"137";"A043981";"2020MM12";"      24"
"138";"A043981";"2021MM04";"      32"
"139";"A043981";"2021MM12";"      26"
"140";"A043981";"2022MM04";"      35"
"141";"A043981";"2022MM12";"      31"
"142";"A043981";"2023MM04";"      39"
"143";"A043982";"2018MM04";"      51"
"144";"A043982";"2018MM12";"      46"
"145";"A043982";"2019MM04";"      47"
"146";"A043982";"2019MM12";"      41"
"147";"A043982";"2020MM04";"      46"
"148";"A043982";"2020MM12";"      39"
"149";"A043982";"2021MM04";"      42"
"150";"A043982";"2021MM12";"      35"
"151";"A043982";"2022MM04";"      44"
"152";"A043982";"2022MM12";"      39"
"153";"A043982";"2023MM04";"      44"
"154";"A043983";"2018MM04";"      27"
"155";"A043983";"2018MM12";"      21"
"156";"A043983";"2019MM04";"      27"
"157";"A043983";"2019MM12";"      22"
"158";"A043983";"2020MM04";"      28"
"159";"A043983";"2020MM12";"      26"
"160";"A043983";"2021MM04";"      32"
"161";"A043983";"2021MM12";"      28"
"162";"A043983";"2022MM04";"      33"
"163";"A043983";"2022MM12";"      36"
"164";"A043983";"2023MM04";"      42"
"165";"A043984";"2018MM04";"      37"
"166";"A043984";"2018MM12";"      35"
"167";"A043984";"2019MM04";"      36"
"168";"A043984";"2019MM12";"      37"
"169";"A043984";"2020MM04";"      36"
"170";"A043984";"2020MM12";"      35"
"171";"A043984";"2021MM04";"      38"
"172";"A043984";"2021MM12";"      38"
"173";"A043984";"2022MM04";"      39"
"174";"A043984";"2022MM12";"      39"
"175";"A043984";"2023MM04";"      40"
"176";"A043985";"2018MM04";"      24"
"177";"A043985";"2018MM12";"      20"
"178";"A043985";"2019MM04";"      25"
"179";"A043985";"2019MM12";"      21"
"180";"A043985";"2020MM04";"      24"
"181";"A043985";"2020MM12";"      21"
"182";"A043985";"2021MM04";"      23"
"183";"A043985";"2021MM12";"      21"
"184";"A043985";"2022MM04";"      23"
"185";"A043985";"2022MM12";"      22"
"186";"A043985";"2023MM04";"      25"
"187";"A028976";"2018MM04";"      63"
"188";"A028976";"2018MM12";"      42"
"189";"A028976";"2019MM04";"      63"
"190";"A028976";"2019MM12";"      43"
"191";"A028976";"2020MM04";"      58"
"192";"A028976";"2020MM12";"      43"
"193";"A028976";"2021MM04";"      56"
"194";"A028976";"2021MM12";"      45"
"195";"A028976";"2022MM04";"      53"
"196";"A028976";"2022MM12";"      44"
"197";"A028976";"2023MM04";"      52"
"198";"A028982";"2018MM04";"      15"
"199";"A028982";"2018MM12";"      13"
"200";"A028982";"2019MM04";"      14"
"201";"A028982";"2019MM12";"      13"
"202";"A028982";"2020MM04";"      14"
"203";"A028982";"2020MM12";"      11"
"204";"A028982";"2021MM04";"      13"
"205";"A028982";"2021MM12";"      12"
"206";"A028982";"2022MM04";"      12"
"207";"A028982";"2022MM12";"      12"
"208";"A028982";"2023MM04";"      14"
"209";"A028984";"2018MM04";"     866"
"210";"A028984";"2018MM12";"     743"
"211";"A028984";"2019MM04";"     918"
"212";"A028984";"2019MM12";"     758"
"213";"A028984";"2020MM04";"     890"
"214";"A028984";"2020MM12";"     710"
"215";"A028984";"2021MM04";"     860"
"216";"A028984";"2021MM12";"     729"
"217";"A028984";"2022MM04";"     854"
"218";"A028984";"2022MM12";"     723"
"219";"A028984";"2023MM04";"     836"
"220";"A047792";"2018MM04";"     327"
"221";"A047792";"2018MM12";"      88"
"222";"A047792";"2019MM04";"     335"
"223";"A047792";"2019MM12";"      88"
"224";"A047792";"2020MM04";"     341"
"225";"A047792";"2020MM12";"      88"
"226";"A047792";"2021MM04";"     338"
"227";"A047792";"2021MM12";"      93"
"228";"A047792";"2022MM04";"     313"
"229";"A047792";"2022MM12";"      88"
"230";"A047792";"2023MM04";"     286"
