"ID";"Periods";"Volume_1";"FatContent_2";"ProteinContent_3";"Butter_4";"Cheese_5";"TotalMilkPowder_6";"WholeMilkPowder_7";"SkimmedMilkPowder_8";"ConcentratedMilk_9";"WheyPowder_10"
"0";"1995MM01";"  911676";"    4.58";"    3.54";"   14380";"   58071";"   13205";"    9250";"    3955";"   29397";"       ."
"1";"1995MM02";"  837617";"    4.52";"    3.48";"   12263";"   53419";"   10960";"    8349";"    2611";"   28294";"       ."
"2";"1995MM03";"  940083";"    4.51";"    3.46";"   12699";"   59799";"   13828";"   11085";"    2743";"   31102";"       ."
"3";"1995MM04";"  935337";"    4.50";"    3.44";"   12702";"   57396";"   14758";"   12194";"    2564";"   30827";"       ."
"4";"1995MM05";"  985108";"    4.34";"    3.45";"   11979";"   59326";"   17883";"   13531";"    4352";"   31917";"       ."
"5";"1995MM06";"  922883";"    4.26";"    3.45";"   10975";"   54075";"   16668";"   13021";"    3647";"   31014";"       ."
"6";"1995MM07";"  936758";"    4.17";"    3.39";"   11343";"   54376";"   13783";"   10269";"    3514";"   29876";"       ."
"7";"1995MM08";"  910404";"    4.14";"    3.37";"    9479";"   55857";"   11980";"    9553";"    2427";"   29164";"       ."
"8";"1995MM09";"  848166";"    4.30";"    3.46";"    8811";"   55537";"    8994";"    6833";"    2161";"   30014";"       ."
"9";"1995MM10";"  869100";"    4.39";"    3.55";"    8753";"   59209";"    9650";"    8361";"    1289";"   27015";"       ."
"10";"1995MM11";"  839265";"    4.49";"    3.59";"    8610";"   57990";"    9297";"    7986";"    1311";"   26884";"       ."
"11";"1995MM12";"  874605";"    4.62";"    3.58";"   10306";"   57842";"   12994";"   11460";"    1534";"   27594";"       ."
"12";"1995JJ00";"10811000";"    4.40";"    3.48";"  132300";"  682900";"  154000";"  121900";"   32100";"  353100";"  126700"
"13";"1996MM01";"  869458";"    4.64";"    3.55";"   11525";"   58176";"   11475";"    9062";"    2413";"   27044";"       ."
"14";"1996MM02";"  807070";"    4.63";"    3.52";"   10806";"   55043";"   10269";"    9136";"    1133";"   28139";"       ."
"15";"1996MM03";"  855588";"    4.58";"    3.47";"   11641";"   58730";"   10804";"    9313";"    1491";"   28047";"       ."
"16";"1996MM04";"  909093";"    4.53";"    3.41";"   13313";"   56472";"   13946";"   10960";"    2986";"   25782";"       ."
"17";"1996MM05";"  967831";"    4.42";"    3.40";"   14062";"   58503";"   17714";"   13129";"    4585";"   28825";"       ."
"18";"1996MM06";"  924381";"    4.25";"    3.42";"   11242";"   54673";"   15345";"   12001";"    3344";"   29727";"       ."
"19";"1996MM07";"  952838";"    4.19";"    3.42";"   12698";"   55852";"   17897";"   12836";"    5061";"   26707";"       ."
"20";"1996MM08";"  895069";"    4.19";"    3.40";"    9472";"   57550";"   11753";"    9568";"    2185";"   25326";"       ."
"21";"1996MM09";"  833714";"    4.30";"    3.50";"    6173";"   58148";"    9343";"    8480";"     863";"   26214";"       ."
"22";"1996MM10";"  854969";"    4.42";"    3.59";"    7685";"   61490";"   10332";"    9051";"    1281";"   27037";"       ."
"23";"1996MM11";"  804639";"    4.55";"    3.57";"    7881";"   57263";"    9304";"    8554";"     750";"   26380";"       ."
"24";"1996MM12";"  860551";"    4.63";"    3.55";"   11002";"   56200";"   14219";"   11455";"    2764";"   27873";"       ."
"25";"1996JJ00";"10535200";"    4.44";"    3.48";"  127500";"  688100";"  152400";"  123500";"   28900";"  327100";"  145300"
"26";"1997MM01";"  885014";"    4.65";"    3.54";"   13069";"   59848";"   12896";"   10589";"    2307";"   28973";"       ."
"27";"1997MM02";"  809713";"    4.54";"    3.47";"   10860";"   54369";"   10108";"    8612";"    1496";"   28359";"       ."
"28";"1997MM03";"  891462";"    4.46";"    3.41";"   11206";"   60610";"   11814";"   10011";"    1803";"   26250";"       ."
"29";"1997MM04";"  906444";"    4.47";"    3.41";"   12447";"   59642";"   13612";"   10988";"    2624";"   26627";"       ."
"30";"1997MM05";"  945959";"    4.38";"    3.43";"   12920";"   60993";"   17148";"   12602";"    4546";"   29874";"       ."
"31";"1997MM06";"  904808";"    4.22";"    3.40";"   11700";"   55671";"   15714";"    9994";"    5720";"   28620";"       ."
"32";"1997MM07";"  893747";"    4.17";"    3.40";"   12116";"   56877";"   15172";"    8769";"    6403";"   27485";"       ."
"33";"1997MM08";"  846786";"    4.14";"    3.36";"   10316";"   58009";"   10269";"    7191";"    3078";"   24652";"       ."
"34";"1997MM09";"  818479";"    4.24";"    3.44";"    8177";"   58939";"    8846";"    6595";"    2251";"   26875";"       ."
"35";"1997MM10";"  844190";"    4.43";"    3.56";"    9002";"   63175";"   10169";"    8074";"    2095";"   26737";"       ."
"36";"1997MM11";"  819281";"    4.60";"    3.61";"    9984";"   58917";"   10491";"    8176";"    2315";"   27572";"       ."
"37";"1997MM12";"  892618";"    4.62";"    3.56";"   12704";"   57051";"   15062";"   10169";"    4893";"   26877";"       ."
"38";"1997JJ00";"10458500";"    4.41";"    3.46";"  134500";"  704100";"  151300";"  112300";"   39000";"  328900";"  127300"
"39";"1998MM01";"  914900";"    4.54";"    3.49";"   14175";"   59031";"   15209";"   10130";"    5079";"   26581";"       ."
"40";"1998MM02";"  829400";"    4.53";"    3.46";"   12154";"   53474";"   11368";"    8350";"    3018";"   25703";"       ."
"41";"1998MM03";"  935000";"    4.50";"    3.41";"   13464";"   57734";"   14062";"    9700";"    4362";"   29894";"       ."
"42";"1998MM04";"  933600";"    4.48";"    3.39";"   13807";"   56481";"   15165";"   10372";"    4793";"   24359";"       ."
"43";"1998MM05";"  982600";"    4.37";"    3.38";"   14422";"   57095";"   16953";"   11732";"    5221";"   25605";"       ."
"44";"1998MM06";"  932400";"    4.24";"    3.39";"   13157";"   52275";"   16530";"   10163";"    6367";"   21261";"       ."
"45";"1998MM07";"  906900";"    4.18";"    3.41";"   12769";"   52794";"   16531";"   10203";"    6328";"   20839";"       ."
"46";"1998MM08";"  879400";"    4.17";"    3.44";"   11566";"   53160";"   14868";"    9440";"    5428";"   25117";"       ."
"47";"1998MM09";"  816100";"    4.31";"    3.51";"   10325";"   51841";"   13555";"    8756";"    4799";"   22375";"       ."
"48";"1998MM10";"  822500";"    4.46";"    3.55";"   10866";"   54377";"   12954";"    8536";"    4418";"   23429";"       ."
"49";"1998MM11";"  798600";"    4.56";"    3.56";"   10519";"   51289";"   13736";"    8675";"    5061";"   23557";"       ."
"50";"1998MM12";"  789800";"    4.56";"    3.57";"   11776";"   50050";"   15069";"    9435";"    5634";"   21380";"       ."
"51";"1998JJ00";"10541200";"    4.40";"    3.46";"  149000";"  649600";"  176000";"  115200";"   60800";"  290100";"  112800"
"52";"1999MM01";"  917179";"    4.44";"    3.47";"   13950";"   54963";"   15461";"    8162";"    7299";"   22520";"       ."
"53";"1999MM02";"  825904";"    4.47";"    3.46";"   12671";"   48630";"   13979";"    7017";"    6962";"   21323";"       ."
"54";"1999MM03";"  913657";"    4.45";"    3.43";"   13031";"   54446";"   15151";"    8460";"    6691";"   24361";"       ."
"55";"1999MM04";"  921808";"    4.40";"    3.38";"   13253";"   52747";"   15660";"    9043";"    6617";"   22158";"       ."
"56";"1999MM05";"  982390";"    4.27";"    3.40";"   13585";"   55246";"   17789";"    8682";"    9107";"   23878";"       ."
"57";"1999MM06";"  952904";"    4.15";"    3.42";"   12983";"   51044";"   16559";"    8502";"    8057";"   23184";"       ."
"58";"1999MM07";"  937809";"    4.09";"    3.39";"   11997";"   54482";"   15911";"    8374";"    7537";"   23114";"       ."
"59";"1999MM08";"  894737";"    4.12";"    3.41";"   10665";"   55283";"   14144";"    8614";"    5530";"   22041";"       ."
"60";"1999MM09";"  837376";"    4.22";"    3.46";"    7415";"   55961";"   11581";"    7899";"    3682";"   21699";"       ."
"61";"1999MM10";"  858207";"    4.44";"    3.56";"    9042";"   59188";"    9053";"    5727";"    3326";"   26921";"       ."
"62";"1999MM11";"  838181";"    4.54";"    3.59";"    9703";"   57481";"   10385";"    5902";"    4483";"   25155";"       ."
"63";"1999MM12";"  896649";"    4.57";"    3.57";"   11605";"   59229";"   13027";"    6897";"    6130";"   25047";"       ."
"64";"1999JJ00";"10776800";"    4.32";"    3.44";"  139900";"  658700";"  168700";"  110100";"   58600";"  281400";"  111800"
"65";"2000MM01";"  920180";"    4.55";"    3.52";"   12291";"   59295";"   17973";"   10525";"    7448";"   19651";"       ."
"66";"2000MM02";"  860157";"    4.49";"    3.46";"   11213";"   55732";"   13440";"    8938";"    4502";"   22340";"       ."
"67";"2000MM03";"  887320";"    4.51";"    3.46";"   12051";"   59466";"   13996";"    8052";"    5944";"   23693";"       ."
"68";"2000MM04";"  912957";"    4.47";"    3.42";"   12159";"   56067";"   13960";"    7640";"    6320";"   22542";"       ."
"69";"2000MM05";"  955278";"    4.27";"    3.38";"   12160";"   57190";"   15058";"    9374";"    5684";"   25224";"       ."
"70";"2000MM06";"  916721";"    4.21";"    3.41";"   11264";"   55035";"   15408";"    9635";"    5773";"   23038";"       ."
"71";"2000MM07";"  913160";"    4.19";"    3.42";"   10486";"   54520";"   14510";"    8054";"    6456";"   22513";"       ."
"72";"2000MM08";"  889049";"    4.18";"    3.42";"    8275";"   57503";"   13599";"    8716";"    4883";"   20763";"       ."
"73";"2000MM09";"  862395";"    4.29";"    3.49";"    7065";"   56331";"   11373";"    6629";"    4744";"   22173";"       ."
"74";"2000MM10";"  867685";"    4.44";"    3.61";"    8325";"   58417";"   11138";"    7237";"    3901";"   24278";"       ."
"75";"2000MM11";"  839607";"    4.57";"    3.55";"    9589";"   56737";"   10202";"    6174";"    4028";"   23070";"       ."
"76";"2000MM12";"  909091";"    4.44";"    3.52";"   11321";"   57307";"   15342";"    9075";"    6267";"   24215";"       ."
"77";"2000JJ00";"10733600";"    4.38";"    3.47";"  126200";"  683600";"  166000";"   96700";"   69300";"  273500";"  129700"
"78";"2001MM01";"  914682";"    4.61";"    3.51";"   12623";"   57262";"   14078";"    8410";"    5668";"   24501";"       ."
"79";"2001MM02";"  849811";"    4.57";"    3.47";"   11114";"   52207";"   13101";"    8252";"    4849";"   26714";"       ."
"80";"2001MM03";"  876672";"    4.57";"    3.48";"   10796";"   53217";"   13777";"   10245";"    3532";"   26789";"       ."
"81";"2001MM04";"  917723";"    4.54";"    3.43";"   12206";"   53786";"   15512";"    8507";"    7005";"   25649";"       ."
"82";"2001MM05";"  971039";"    4.42";"    3.40";"   12398";"   55872";"   17203";"    9317";"    7886";"   25653";"       ."
"83";"2001MM06";"  951882";"    4.27";"    3.42";"   11885";"   52860";"   17109";"   10615";"    6494";"   24036";"       ."
"84";"2001MM07";"  932724";"    4.17";"    3.38";"   11082";"   56051";"   14159";"    8785";"    5374";"   23169";"       ."
"85";"2001MM08";"  903634";"    4.18";"    3.38";"    9136";"   56910";"   13467";"    8948";"    4519";"   24614";"       ."
"86";"2001MM09";"  847682";"    4.31";"    3.46";"    7691";"   53958";"   11593";"    7693";"    3900";"   24322";"       ."
"87";"2001MM10";"  875759";"    4.42";"    3.50";"   10148";"   54474";"   13459";"    7596";"    5863";"   26246";"       ."
"88";"2001MM11";"  872212";"    4.56";"    3.55";"    9823";"   52811";"   14679";"    9090";"    5589";"   27454";"       ."
"89";"2001MM12";"  914581";"    4.65";"    3.57";"   11496";"   52392";"   17765";"    9355";"    8410";"   25353";"       ."
"90";"2001JJ00";"10828400";"    4.44";"    3.46";"  130400";"  651800";"  175900";"  107900";"   68000";"  304500";"  105000"
"91";"2002MM01";"  888927";"    4.64";"    3.53";"   11910";"   54338";"   15659";"    8429";"    7230";"   21941";"       ."
"92";"2002MM02";"  775809";"    4.54";"    3.48";"   10281";"   46135";"   14253";"    7835";"    6418";"   23133";"       ."
"93";"2002MM03";"  843880";"    4.57";"    3.48";"   10561";"   50341";"   14473";"    8899";"    5574";"   25321";"       ."
"94";"2002MM04";"  882720";"    4.53";"    3.46";"   12020";"   53173";"   14848";"    8329";"    6519";"   22464";"       ."
"95";"2002MM05";"  915955";"    4.39";"    3.40";"   12157";"   54429";"   14994";"    8654";"    6340";"   22948";"       ."
"96";"2002MM06";"  879017";"    4.25";"    3.39";"   10078";"   50553";"   13221";"    7838";"    5383";"   21885";"       ."
"97";"2002MM07";"  885023";"    4.16";"    3.40";"   10793";"   53086";"   15248";"    9006";"    6242";"   22529";"       ."
"98";"2002MM08";"  873311";"    4.15";"    3.35";"    8121";"   53051";"   12746";"    8514";"    4232";"   22726";"       ."
"99";"2002MM09";"  822358";"    4.27";"    3.46";"    6416";"   53836";"   10773";"    6854";"    3919";"   21130";"       ."
"100";"2002MM10";"  858195";"    4.46";"    3.57";"    8504";"   58930";"   11606";"    7375";"    4231";"   23713";"       ."
"101";"2002MM11";"  836973";"    4.56";"    3.48";"    7496";"   55351";"   11244";"    7512";"    3732";"   23868";"       ."
"102";"2002MM12";"  894933";"    4.62";"    3.56";"   11063";"   55776";"   16236";"    9921";"    6315";"   24142";"       ."
"103";"2002JJ00";"10357100";"    4.43";"    3.46";"  119400";"  639000";"  165300";"   98952";"   66348";"  275800";"  120800"
"104";"2003MM01";"  923581";"    4.58";"    3.52";"   12180";"   57495";"   16611";"   10210";"    6401";"   24385";"       ."
"105";"2003MM02";"  831663";"    4.58";"    3.51";"   10472";"   51642";"   15665";"    9654";"    6011";"   20968";"       ."
"106";"2003MM03";"  914580";"    4.51";"    3.48";"   11274";"   55670";"   16172";"    9683";"    6489";"   22904";"       ."
"107";"2003MM04";"  902377";"    4.47";"    3.45";"   11184";"   54041";"   16833";"   10033";"    6800";"   22378";"       ."
