"ID";"PlantProtectionProducts";"Periods";"SalesActiveIngredient_1";"SalesActiveIngredientIndexnumber_2"
"0";"T001222";"2010JJ00";"    9545";"      87"
"1";"T001222";"2011JJ00";"   10919";"     100"
"2";"T001222";"2012JJ00";"   11318";"     104"
"3";"T001222";"2013JJ00";"   10692";"      98"
"4";"T001222";"2014JJ00";"   10626";"      97"
"5";"T001222";"2015JJ00";"   10008";"      92"
"6";"T001222";"2016JJ00";"   10770";"      99"
"7";"T001222";"2017JJ00";"   10566";"      97"
"8";"T001222";"2018JJ00";"    9403";"      86"
"9";"T001222";"2019JJ00";"    9216";"      84"
"10";"T001222";"2020JJ00";"    9884";"      91"
"11";"T001222";"2021JJ00";"    9397";"      86"
"12";"A028300";"2010JJ00";"    3641";"      86"
"13";"A028300";"2011JJ00";"    4247";"     100"
"14";"A028300";"2012JJ00";"    4657";"     110"
"15";"A028300";"2013JJ00";"    4322";"     102"
"16";"A028300";"2014JJ00";"    4897";"     115"
"17";"A028300";"2015JJ00";"    4411";"     104"
"18";"A028300";"2016JJ00";"    4868";"     115"
"19";"A028300";"2017JJ00";"    4722";"     111"
"20";"A028300";"2018JJ00";"    4291";"     101"
"21";"A028300";"2019JJ00";"    3886";"      92"
"22";"A028300";"2020JJ00";"    4001";"      94"
"23";"A028300";"2021JJ00";"    3302";"      78"
"24";"A028299";"2010JJ00";"    2636";"      88"
"25";"A028299";"2011JJ00";"    3011";"     100"
"26";"A028299";"2012JJ00";"    3029";"     101"
"27";"A028299";"2013JJ00";"    2751";"      91"
"28";"A028299";"2014JJ00";"    3247";"     108"
"29";"A028299";"2015JJ00";"    2865";"      95"
"30";"A028299";"2016JJ00";"    2733";"      91"
"31";"A028299";"2017JJ00";"    2883";"      96"
"32";"A028299";"2018JJ00";"    2961";"      98"
"33";"A028299";"2019JJ00";"    2721";"      90"
"34";"A028299";"2020JJ00";"    2622";"      87"
"35";"A028299";"2021JJ00";"    2588";"      86"
"36";"A028298";"2010JJ00";"    1705";"      90"
"37";"A028298";"2011JJ00";"    1903";"     100"
"38";"A028298";"2012JJ00";"    1869";"      98"
"39";"A028298";"2013JJ00";"    1663";"      87"
"40";"A028298";"2014JJ00";"    1722";"      90"
"41";"A028298";"2015JJ00";"    2229";"     117"
"42";"A028298";"2016JJ00";"    2608";"     137"
"43";"A028298";"2017JJ00";"    2491";"     131"
"44";"A028298";"2018JJ00";"    1627";"      85"
"45";"A028298";"2019JJ00";"    1971";"     104"
"46";"A028298";"2020JJ00";"    2415";"     127"
"47";"A028298";"2021JJ00";"    2655";"     140"
"48";"A028301";"2010JJ00";"      16";"      81"
"49";"A028301";"2011JJ00";"      20";"     100"
"50";"A028301";"2012JJ00";"      27";"     133"
"51";"A028301";"2013JJ00";"      23";"     113"
"52";"A028301";"2014JJ00";"      27";"     136"
"53";"A028301";"2015JJ00";"      20";"      98"
"54";"A028301";"2016JJ00";"      20";"      99"
"55";"A028301";"2017JJ00";"      30";"     147"
"56";"A028301";"2018JJ00";"      11";"      54"
"57";"A028301";"2019JJ00";"      14";"      68"
"58";"A028301";"2020JJ00";"      16";"      80"
"59";"A028301";"2021JJ00";"      31";"     155"
"60";"A028297";"2010JJ00";"     212";"     103"
"61";"A028297";"2011JJ00";"     206";"     100"
"62";"A028297";"2012JJ00";"     304";"     147"
"63";"A028297";"2013JJ00";"     352";"     171"
"64";"A028297";"2014JJ00";"     452";"     219"
"65";"A028297";"2015JJ00";"     426";"     206"
"66";"A028297";"2016JJ00";"     459";"     222"
"67";"A028297";"2017JJ00";"     386";"     187"
"68";"A028297";"2018JJ00";"     386";"     187"
"69";"A028297";"2019JJ00";"     528";"     256"
"70";"A028297";"2020JJ00";"     560";"     272"
"71";"A028297";"2021JJ00";"     559";"     271"
"72";"A028296";"2010JJ00";"    1335";"      87"
"73";"A028296";"2011JJ00";"    1532";"     100"
"74";"A028296";"2012JJ00";"    1433";"      94"
"75";"A028296";"2013JJ00";"    1582";"     103"
"76";"A028296";"2014JJ00";"     281";"      18"
"77";"A028296";"2015JJ00";"      58";"       4"
"78";"A028296";"2016JJ00";"      82";"       5"
"79";"A028296";"2017JJ00";"      53";"       3"
"80";"A028296";"2018JJ00";"     127";"       8"
"81";"A028296";"2019JJ00";"      96";"       6"
"82";"A028296";"2020JJ00";"     270";"      18"
"83";"A028296";"2021JJ00";"     262";"      17"
"84";"A048532";"2010JJ00";"     127";"      97"
"85";"A048532";"2011JJ00";"     131";"     100"
"86";"A048532";"2012JJ00";"     132";"     101"
"87";"A048532";"2013JJ00";"     107";"      82"
"88";"A048532";"2014JJ00";"     148";"     114"
"89";"A048532";"2015JJ00";"     146";"     112"
"90";"A048532";"2016JJ00";"     151";"     115"
"91";"A048532";"2017JJ00";"     148";"     113"
"92";"A048532";"2018JJ00";"     148";"     113"
"93";"A048532";"2019JJ00";"      96";"      74"
"94";"A048532";"2020JJ00";"     143";"     110"
"95";"A048532";"2021JJ00";"     164";"     126"
"96";"A048533";"2010JJ00";"    1951";"      83"
"97";"A048533";"2011JJ00";"    2352";"     100"
"98";"A048533";"2012JJ00";"    2378";"     101"
"99";"A048533";"2013JJ00";"    2263";"      96"
"100";"A048533";"2014JJ00";"    2597";"     110"
"101";"A048533";"2015JJ00";"    2458";"     105"
"102";"A048533";"2016JJ00";"    2894";"     123"
"103";"A048533";"2017JJ00";"    2806";"     119"
"104";"A048533";"2018JJ00";"    2501";"     106"
"105";"A048533";"2019JJ00";"    2284";"      97"
"106";"A048533";"2020JJ00";"    2293";"      98"
"107";"A048533";"2021JJ00";"    1370";"      58"
"108";"A048534";"2010JJ00";"     110";"     102"
"109";"A048534";"2011JJ00";"     108";"     100"
"110";"A048534";"2012JJ00";"      90";"      84"
"111";"A048534";"2013JJ00";"      97";"      90"
"112";"A048534";"2014JJ00";"      97";"      90"
"113";"A048534";"2015JJ00";"      96";"      89"
"114";"A048534";"2016JJ00";"      97";"      90"
"115";"A048534";"2017JJ00";"     100";"      93"
"116";"A048534";"2018JJ00";"      92";"      85"
"117";"A048534";"2019JJ00";"      95";"      88"
"118";"A048534";"2020JJ00";"      97";"      90"
"119";"A048534";"2021JJ00";"      52";"      48"
"120";"A048535";"2010JJ00";"     144";"      85"
"121";"A048535";"2011JJ00";"     171";"     100"
"122";"A048535";"2012JJ00";"     244";"     143"
