"ID";"Periods";"PopulationAtStartOfSelectedPeriod_1";"LiveBirths_2";"Deaths_3";"Immigration_4";"EmigrationIncludingAdministrativeC_5";"NetCorrections_6";"TotalPopulationGrowth_7";"PopulationAtEndOfSelectedPeriod_8"
"0";"1995MM01";"15424122";"   16436";"   11974";"    8362";"    6768";"";"    6056";"15430178"
"1";"1995MM02";"15430178";"   14824";"   10106";"    6621";"    5341";"";"    5998";"15436176"
"2";"1995MM03";"15436176";"   16205";"   12069";"    7596";"    5988";"";"    5744";"15441920"
"3";"1995MM04";"15441920";"   14906";"   11412";"    6288";"    5490";"";"    4292";"15446212"
"4";"1995MM05";"15446212";"   16167";"   11180";"    6672";"    5501";"";"    6158";"15452370"
"5";"1995MM06";"15452370";"   16124";"   10508";"    7195";"    6335";"";"    6476";"15458846"
"6";"1995MM07";"15458846";"   16698";"   11288";"    8628";"    9069";"";"    4969";"15463815"
"7";"1995MM08";"15463815";"   16491";"   10928";"   10334";"    8177";"";"    7720";"15471535"
"8";"1995MM09";"15471535";"   16222";"   10199";"    9083";"    7842";"";"    7264";"15478799"
"9";"1995MM10";"15478799";"   16508";"   11030";"    9211";"    7579";"";"    7110";"15485909"
"10";"1995MM11";"15485909";"   15199";"   11234";"    8868";"    7469";"";"    5364";"15491273"
"11";"1995MM12";"15491273";"   14733";"   13747";"    7241";"    6636";"    1025";"    2616";"15493889"
"12";"1995JJ00";"15424122";"  190513";"  135675";"   96099";"   82195";"    1025";"   69767";"15493889"
"13";"1996MM01";"15493889";"   15272";"   13912";"    9296";"    7267";"";"    3389";"15497278"
"14";"1996MM02";"15497278";"   14972";"   12376";"    7617";"    7461";"";"    2752";"15500030"
"15";"1996MM03";"15500030";"   15531";"   12264";"    8162";"    8363";"";"    3066";"15503096"
"16";"1996MM04";"15503096";"   15090";"   11675";"    7770";"    7684";"";"    3501";"15506597"
"17";"1996MM05";"15506597";"   15901";"   11271";"    7955";"    7203";"";"    5382";"15511979"
"18";"1996MM06";"15511979";"   15567";"   10672";"    7964";"    6957";"";"    5902";"15517881"
"19";"1996MM07";"15517881";"   16561";"   10933";"   10402";"    8905";"";"    7125";"15525006"
"20";"1996MM08";"15525006";"   16680";"   10379";"   11502";"    8026";"";"    9777";"15534783"
"21";"1996MM09";"15534783";"   16430";"   10187";"   10967";"    9206";"";"    8004";"15542787"
"22";"1996MM10";"15542787";"   16412";"   10747";"   10690";"    7529";"";"    8826";"15551613"
"23";"1996MM11";"15551613";"   15508";"   10970";"    9084";"    6618";"";"    7004";"15558617"
"24";"1996MM12";"15558617";"   15597";"   12175";"    7340";"    6726";"    4454";"    8490";"15567107"
"25";"1996JJ00";"15493889";"  189521";"  137561";"  108749";"   91945";"    4454";"   73218";"15567107"
"26";"1997MM01";"15567107";"   16377";"   14200";"    9684";"    6962";"";"    4899";"15572006"
"27";"1997MM02";"15572006";"   15053";"   11676";"    7656";"    6090";"";"    4943";"15576949"
"28";"1997MM03";"15576949";"   15798";"   11258";"    7283";"    6468";"";"    5355";"15582304"
"29";"1997MM04";"15582304";"   16215";"   10872";"    8502";"    6881";"";"    6964";"15589268"
"30";"1997MM05";"15589268";"   16483";"   11148";"    7393";"    5465";"";"    7263";"15596531"
"31";"1997MM06";"15596531";"   16019";"   10690";"    8574";"    6702";"";"    7201";"15603732"
"32";"1997MM07";"15603732";"   17211";"   10684";"   10345";"    8244";"";"    8628";"15612360"
"33";"1997MM08";"15612360";"   16406";"   11658";"   11915";"    8224";"";"    8439";"15620799"
"34";"1997MM09";"15620799";"   16552";"   10178";"   12145";"    7685";"";"   10834";"15631633"
"35";"1997MM10";"15631633";"   15975";"   10981";"   10336";"    7060";"";"    8270";"15639903"
"36";"1997MM11";"15639903";"   14774";"   10773";"    8200";"    5661";"";"    6540";"15646443"
"37";"1997MM12";"15646443";"   15580";"   11665";"    7827";"    6531";"    2538";"    7749";"15654192"
"38";"1997JJ00";"15567107";"  192443";"  135783";"  109860";"   81973";"    2538";"   87085";"15654192"
"39";"1998MM01";"15654192";"   16398";"   11359";"   10327";"    6028";"";"    9338";"15663530"
"40";"1998MM02";"15663530";"   15179";"   10716";"    7953";"    5869";"";"    6547";"15670077"
"41";"1998MM03";"15670077";"   16508";"   12928";"    9135";"    7039";"";"    5676";"15675753"
"42";"1998MM04";"15675753";"   16139";"   12317";"    8223";"    6556";"";"    5489";"15681242"
"43";"1998MM05";"15681242";"   16337";"   11641";"    8073";"    5679";"";"    7090";"15688332"
"44";"1998MM06";"15688332";"   16138";"   10459";"    9605";"    7874";"";"    7410";"15695742"
"45";"1998MM07";"15695742";"   17805";"   10953";"   11427";"    9232";"";"    9047";"15704789"
"46";"1998MM08";"15704789";"   17543";"   10703";"   13245";"    6999";"";"   13086";"15717875"
"47";"1998MM09";"15717875";"   18137";"   10703";"   13584";"    7025";"";"   13993";"15731868"
"48";"1998MM10";"15731868";"   17222";"   11101";"   11350";"    5559";"";"   11912";"15743780"
"49";"1998MM11";"15743780";"   16008";"   11334";"   10082";"    5207";"";"    9549";"15753329"
"50";"1998MM12";"15753329";"   15994";"   13268";"    9403";"    6222";"     989";"    6896";"15760225"
"51";"1998JJ00";"15654192";"  199408";"  137482";"  122407";"   79289";"     989";"  106033";"15760225"
"52";"1999MM01";"15760225";"   16218";"   13145";"    9330";"    5948";"";"    6455";"15766680"
"53";"1999MM02";"15766680";"   15191";"   12334";"    8386";"    5209";"";"    6034";"15772714"
"54";"1999MM03";"15772714";"   16818";"   13153";"    9767";"    6847";"";"    6585";"15779299"
"55";"1999MM04";"15779299";"   16880";"   11289";"    8019";"    5674";"";"    7936";"15787235"
"56";"1999MM05";"15787235";"   16379";"   11374";"    7540";"    5113";"";"    7432";"15794667"
"57";"1999MM06";"15794667";"   16941";"   10914";"    9082";"    6885";"";"    8224";"15802891"
"58";"1999MM07";"15802891";"   17638";"   11299";"   11200";"    8137";"";"    9402";"15812293"
"59";"1999MM08";"15812293";"   17713";"   11284";"   13008";"    7402";"";"   12035";"15824328"
