"ID";"SectorBranchesSIC2008";"Periods";"Employee_1";"EmployedPerson_2";"Employee_3";"EmployedPerson_4";"Total_5";"NetTurnover_6";"OtherRevenues_7";"Total_8";"Total_9";"Total_10";"InitialStockOfRawAndAuxiliaryMater_11";"PurchasedRawAndAuxiliaryMaterials_12";"ClosingStockRawAndAuxiliaryMat_13";"Total_14";"InitialStockOfCommodities_15";"PurchasedCommodities_16";"ClosingStockOfCommodities_17";"PaymentsToSubcontractors_18";"PurchaseValueNotElsewhereClassified_19";"Total_20";"GrossWagesAndSalaries_21";"Total_22";"EmployerPaidSocialInsurancePremiums_23";"OtherSocialInsuranceCosts_24";"PensionAndEarlyRetirementPremiums_25";"OtherPersonnelCosts_26";"Total_27";"CostsOfEnergyUse_28";"HousingCosts_29";"EquipmentAndInventoryCosts_30";"TransportCosts_31";"SalesCosts_32";"CommunicationCosts_33";"CostsOfOtherServices_34";"OtherLiabilities_35";"DepreciationFixedAssets_36";"OperatingResults_37";"NetFinancialIncome_38";"BalanceOfProvisions_39";"NetExtraordinaryIncome_40";"PreTaxResults_41"
"0";"303600";"2009JJ00";"    19.1";"    36.1";"    15.2";"    27.4";"    3355";"    3260";"      95";"    2856";"    1138";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     674";"     455";"      82";"      72";"      10";"      41";"      96";"     721";"     116";"      74";"     210";"     113";"      22";"      18";"      56";"     112";"     324";"     499";"     -66";"       1";"      23";"     457"
"1";"303600";"2010JJ00";"    21.2";"    41.4";"    17.1";"    29.4";"    3956";"    3843";"     113";"    3453";"    1477";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     759";"     503";"      84";"      76";"       7";"      45";"     128";"     850";"     145";"      77";"     220";"     138";"      27";"      19";"      74";"     149";"     367";"     504";"     -72";"       2";"      35";"     469"
"2";"303600";"2011JJ00";"    22.9";"    43.8";"    18.2";"    31.6";"    4780";"    4660";"     120";"    4229";"    1984";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     863";"     560";"      95";"      87";"       8";"      50";"     158";"     998";"     198";"      86";"     253";"     141";"      33";"      22";"      76";"     190";"     383";"     552";"     -82";"       1";"      -5";"     465"
"3";"303600";"2012JJ00";"    20.7";"    42.2";"    17.1";"    31.2";"    4507";"    4407";"     100";"    3933";"    1841";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     785";"     520";"      92";"      83";"       9";"      49";"     124";"     973";"     194";"      82";"     245";"     145";"      29";"      21";"      71";"     187";"     334";"     575";"     -76";"       2";"      12";"     512"
"4";"303600";"2013JJ00";"    20.8";"    42.7";"    16.7";"    35.2";"    5142";"    5043";"      99";"    4530";"    2236";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"     883";"     574";"      98";"      89";"       9";"      57";"     154";"    1033";"     165";"      95";"     260";"     150";"      39";"      22";"     126";"     177";"     378";"     613";"     -57";"      -2";"      46";"     600"
"5";"303600";"2014JJ00";"    20.8";"    44.8";"    17.4";"    37.5";"    5200";"    5073";"     127";"    4487";"    1966";"     948";"       .";"       .";"       .";"     631";"       .";"       .";"       .";"     301";"      86";"    1045";"     632";"     111";"     101";"      10";"      67";"     235";"    1093";"     205";"     111";"     248";"     151";"      45";"      20";"     139";"     174";"     384";"     712";"      42";"     -10";"      26";"     771"
"6";"303600";"2015JJ00";"    20.6";"    44.1";"    16.9";"    36.6";"    5216";"    5151";"      65";"    4548";"    2112";"    1064";"       .";"       .";"       .";"     656";"       .";"       .";"       .";"     329";"      63";"    1017";"     627";"     106";"      99";"       7";"      62";"     222";"    1035";"     163";"     102";"     259";"     152";"      45";"      19";"     137";"     159";"     384";"     668";"     -58";"      -1";"      33";"     643"
"7";"303600";"2016JJ00";"    21.6";"    45.1";"    17.1";"    36.9";"    5195";"    5131";"      64";"    4350";"    1954";"     785";"       .";"       .";"       .";"     741";"       .";"       .";"       .";"     320";"     109";"     995";"     599";"     109";"     102";"       7";"      68";"     220";"    1093";"     146";"      97";"     273";"     144";"      47";"      18";"     137";"     233";"     307";"     845";"     -28";"      -2";"      37";"     852"
"8";"303600";"2017JJ00";"    23.0";"    47.1";"    18.4";"    38.9";"    5719";"    5648";"      71";"    4944";"    2314";"    1030";"       .";"       .";"       .";"     844";"       .";"       .";"       .";"     347";"      93";"    1137";"     687";"     122";"     115";"       7";"      82";"     246";"    1173";"     163";"      91";"     300";"     174";"      59";"      19";"     146";"     221";"     321";"     775";"     -14";"      -4";"      47";"     804"
"9";"303600";"2018JJ00";"    24.1";"    50.5";"    18.2";"    40.4";"    5812";"    5693";"     120";"    4967";"    2126";"    1022";"       .";"       .";"       .";"     631";"       .";"       .";"       .";"     371";"     102";"    1235";"     728";"     134";"     126";"       8";"      88";"     285";"    1244";"     172";"      99";"     321";"     164";"      49";"      18";"     157";"     265";"     361";"     845";"     -32";"      -2";"      53";"     864"
