results = {
    "ID": "Other",
    "Education Sectors": "Education",
    "Periods": "Time use",
    "Total Expenditure On Education": "Economic policy, public expenditure and revenue",
    "Total Government": "Economic policy, public expenditure and revenue",
    "Total On Education Institutions": "Education",
    "Lump Sum Financing": "Economic policy, public expenditure and revenue",
    "Contract Research": "Business/industrial management and organisation",
    "Operating Costs": "Business/industrial management and organisation",
    "Total Subsidies And Tax Benefits": "Economic policy, public expenditure and revenue",
    "Education Component Preschool Day Care": "Compulsory and pre-school education",
    "Transport Of Pupils": "TRANSPORT AND TRAVEL",
    "Provisions For Disabled Students": "Special needs education",
    "Allowance For School Costs": "Social welfare policy",
    "Supervising Costs Of Companies": "Business/industrial management and organisation",
    "Student Grants": "Higher and further education",
    "Student Loans": "Higher and further education",
    "Total Receipts": "Economic conditions and indicators",
    "EUSubsidies": "Foreign trade",
    "Repaid Student Grants And Loans And Interest On Student Loans": "Higher and further education",
    "Repayments On Student Loans": "Higher and further education",
    "Total Expenditure By Households": "Economic conditions and indicators",
    "Tuition Fees Subsidised Institutions": "Higher and further education",
    "Tuition Fees Private Institutions": "Higher and further education",
    "Parental Contribution School Activities": "Family life and marriage",
    "Total Other Expenditures On Education": "Economic policy, public expenditure and revenue",
    "Books Materials Public Transport And": "Cultural activities and participation",
    "Wrongfully Received Student Grants And": "Higher and further education",
    "Interest On Student Loans": "Higher and further education",
    "Total Allowances Received": "Social welfare policy",
    "Child Care Allowance Education Component": "Social welfare policy",
    "Allowances For School Costs": "Social welfare policy",
    "Scholarships Of Companies": "Business/industrial management and organisation",
    "Student Grants For School Fees Books": "Higher and further education",
    "Student Grants For The Cost Of Living": "Higher and further education",
    "Total Companies": "Business/industrial management and organisation",
    "Total On Education Institutes": "Education",
    "Supervising Trainees And Apprentices": "Business/industrial management and organisation",
    "Total Other Expenditure On Education": "Economic policy, public expenditure and revenue",
    "Total Subsidies Received": "Economic policy, public expenditure and revenue",
    "Transport Of Pupils": "TRANSPORT AND TRAVEL",
    "Supervising Costs Of Companies": "Business/industrial management and organisation",
    "Total Foreign Countries": "International politics and organisations",
    "Total On Education Institutes": "Education",
    "International Funds": "International politics and organisations",
    "Contract Research": "Business/industrial management and organisation",
    "EUSubsidies": "Foreign trade",
    "Total Expenditure On Education": "Economic policy, public expenditure and revenue",
    "In Of GDP": "Economic conditions and indicators",
    "Per Capita": "Economic conditions and indicators",
    "Total Government Exp On Education": "Economic policy, public expenditure and revenue",
    "In Of GDP": "Economic conditions and indicators",
    "In Of Total Government Expenditure": "Economic conditions and indicators",
    "Total On Education Institutions": "Education",
    "Total In Of GDP": "Economic conditions and indicators",
    "Government": "Government, political systems and organisations",
    "Households Companies Foreign Countries": "International politics and organisations",
    "Per Student Including RD": "Economic conditions and indicators",
    "Per Student Excluding RD": "Economic conditions and indicators"
}
