results = {
    "ID": "Censuses",
    "Periods": "Time use",
    "Volume": "Business/industrial management and organisation",
    "Fat Content": "Diet and nutrition",
    "Protein Content": "Diet and nutrition",
    "Butter": "Consumption and consumer behaviour",
    "Cheese": "Consumption and consumer behaviour",
    "Total Milk Powder": "Agriculture and rural industry",
    "Whole Milk Powder": "Agriculture and rural industry",
    "Skimmed Milk Powder": "Agriculture and rural industry",
    "Concentrated Milk": "Agriculture and rural industry",
    "Whey Powder": "Agriculture and rural industry"
}
