results = {
    "ID": "Agriculture and rural industry",
    "Periods": "Time use",
    "Volume": "ECONOMIC CONDITIONS AND INDICATORS",
    "Fat Content": "Specific diseases, disorders and medical conditions",
    "Protein Content": "General health and well-being",
    "Butter": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Cheese": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Total Milk Powder": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Whole Milk Powder": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Skimmed Milk Powder": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Concentrated Milk": "CONSUMPTION AND CONSUMER BEHAVIOUR",
    "Whey Powder": "CONSUMPTION AND CONSUMER BEHAVIOUR"
}
