results = {
    "ID": "IDENTITY",
    "Sex": "SEX",
    "Age At December31": "AGE",
    "Type Of Figure": "BODY IMAGE",
    "Periods": "TIME",
    "Life Expectancy": "HEALTH",
    "Life Expectancy In Perceived Good Health": "HEALTH",
    "LEWithout Moderate Severe Limitations": "HEALTH",
    "LEWithout Severe Limitations": "HEALTH",
    "LEWithout Light Moderate Severe Lim": "HEALTH",
    "LEWithout Chronic Morbidity": "HEALTH",
    "LEWithout Chr Morb Excl Hypertension": "HEALTH",
    "LEWithout Psychological Complaints": "HEALTH",
    "Life Expectancy Without GALILimitations": "HEALTH",
    "Life Exp Without Severe GALILimitations": "HEALTH"
}
