results = {
    "ID": "IDENTITY",
    "Periods": "TIME",
    "Total Number Of Disablement Benefits": "BENEFITS",
    "Benefits WAO": "BENEFITS",
    "Benefits Wajong": "BENEFITS",
    "Benefits WAZ": "BENEFITS",
    "Total Benefits WIA": "BENEFITS",
    "Benefits IVA": "BENEFITS",
    "Benefits WGA": "BENEFITS",
    "Benefits WWNot Seasonally Adjusted": "BENEFITS",
    "Benefits WWSeasonally Adjusted": "BENEFITS",
    "Benefits IOW": "BENEFITS",
    "Total Benefits Income Support": "BENEFITS",
    "Benefits Income Support Up To AOWAge": "BENEFITS",
    "Benefits Income Support From AOWAge": "BENEFITS",
    "Benefits IOAW": "BENEFITS",
    "Benefits IOAZ": "BENEFITS",
    "Benefits AOW": "BENEFITS",
    "Benefits Anw": "BENEFITS",
    "Persons Entitled To AKW": "POPULATION"
}
