results = {
    "ID": "IDENTITY",
    "Sector Branches SIC2008": "INDUSTRIES",
    "Periods": "TIME",
    "Employee": "EMPLOYMENT",
    "Employed Person": "EMPLOYMENT",
    "Total": "TOTAL",
    "Net Turnover": "FINANCIAL",
    "Other Revenues": "FINANCIAL",
    "Initial Stock Of Raw And Auxiliary Mater": "MATERIALS",
    "Purchased Raw And Auxiliary Materials": "MATERIALS",
    "Closing Stock Raw And Auxiliary Mat": "MATERIALS",
    "Initial Stock Of Commodities": "COMMODITIES",
    "Purchased Commodities": "COMMODITIES",
    "Closing Stock Of Commodities": "COMMODITIES",
    "Payments To Subcontractors": "EXPENSES",
    "Purchase Value Not Elsewhere Classified": "EXPENSES",
    "Gross Wages And Salaries": "PERSONNEL",
    "Employer Paid Social Insurance Premiums": "SOCIAL INSURANCE",
    "Other Social Insurance Costs": "SOCIAL INSURANCE",
    "Pension And Early Retirement Premiums": "SOCIAL INSURANCE",
    "Other Personnel Costs": "PERSONNEL",
    "Costs Of Energy Use": "COSTS",
    "Housing Costs": "COSTS",
    "Equipment And Inventory Costs": "COSTS",
    "Transport Costs": "COSTS",
    "Sales Costs": "COSTS",
    "Communication Costs": "COSTS",
    "Costs Of Other Services": "COSTS",
    "Other Liabilities": "LIABILITIES",
    "Depreciation Fixed Assets": "DEPRECIATION",
    "Operating Results": "FINANCIAL",
    "Net Financial Income": "FINANCIAL",
    "Balance Of Provisions": "PROVISIONS",
    "Net Extraordinary Income": "FINANCIAL",
    "Pre Tax Results": "FINANCIAL"
}
