
results = {
"ID": "DATA",
"Education Sectors": "EDUCATION",
"Periods": "TIME",
"Total Expenditure On Education": "ECONOMICS",
"Total Government": "GOVERNMENT",
"Total On Education Institutions": "EDUCATION",
"Lump Sum Financing": "ECONOMICS",
"Contract Research": "GOVERNMENT",
"Operating Costs": "ECONOMICS",
"Total Subsidies And Tax Benefits": "ECONOMICS",
"Education Component Preschool Day Care": "EDUCATION",
"Transport Of Pupils": "TRANSPORT",
"Provisions For Disabled Students": "HEALTH",
"Allowance For School Costs": "ECONOMICS",
"Supervising Costs Of Companies": "ECONOMICS",
"Student Grants": "ECONOMICS",
"Student Loans": "ECONOMICS",
"Total Receipts": "ECONOMICS",
"EUSubsidies": "ECONOMICS",
"Repaid Student Grants And Loans And": "ECONOMICS",
"Interest On Student Loans": "FINANCE",
"Repayments On Student Loans": "ECONOMICS",
"Total Expenditure By Households": "ECONOMICS",
"Total On Education Institutions": "EDUCATION",
"Tuition Fees Subsidised Institutions": "EDUCATION",
"Tuition Fees Private Institutions": "EDUCATION",
"Parental Contribution School Activities": "ECONOMICS",
"Total Other Expenditures On Education": "ECONOMICS",
"Education Component Preschool Day Care": "EDUCATION",
"Books Materials Public Transport And": "EDUCATION",
"Wrongfully Received Student Grants And": "FINANCE",
"Interest On Student Loans": "FINANCE",
"Repayments On Student Loans": "ECONOMICS",
"Total Allowances Received": "ECONOMICS",
"Child Care Allowance Education Component": "EDUCATION"
}
