results = {
"ID": "DATA",
"Periods": "TIME",
"Total Number Of Disablement Benefits": "MEASUREMENT",
"Benefits WAO": "QUANTITY",
"Benefits Wajong": "QUANTITY",
"Benefits WAZ": "QUANTITY",
"Total Benefits WIA": "MEASUREMENT",
"Benefits IVA": "QUANTITY",
"Benefits WGA": "QUANTITY",
"Benefits WWNot Seasonally Adjusted": "MEASUREMENT",
"Benefits WWSeasonally Adjusted": "MEASUREMENT",
"Benefits IOW": "QUANTITY",
"Total Benefits Income Support": "MEASUREMENT",
"Benefits Income Support Up To AOWAge": "QUANTITY",
"Benefits Income Support From AOWAge": "QUANTITY",
"Benefits IOAW": "QUANTITY",
"Benefits IOAZ": "QUANTITY",
"Benefits AOW": "QUANTITY",
"Benefits Anw": "QUANTITY",
"Persons Entitled To AKW": "COUNT",
}
