results = {
"ID": "DATA",
"Sector Branches SIC2008": "INDUSTRIES",
"Periods": "TIME",
"Employee": "COUNT",
"Employed Person": "COUNT",
"Total": "MEASUREMENT",
"Net Turnover": "QUANTITY",
"Other Revenues": "QUANTITY",
"Total": "MEASUREMENT",
"Initial Stock Of Raw And Auxiliary Mater": "QUANTITY",
"Purchased Raw And Auxiliary Materials": "QUANTITY",
"Closing Stock Raw And Auxiliary Mat": "QUANTITY",
"Total": "QUANTITY",
"Initial Stock Of Commodities": "QUANTITY",
"Purchased Commodities": "QUANTITY",
"Closing Stock Of Commodities": "QUANTITY",
"Payments To Subcontractors": "COST",
"Purchase Value Not Elsewhere Classified": "COST",
"Total": "COST",
"Gross Wages And Salaries": "COST",
"Total": "COST",
"Employer Paid Social Insurance Premiums": "COST",
"Other Social Insurance Costs": "COST",
"Pension And Early Retirement Premiums": "COST",
"Other Personnel Costs": "COST",
"Total": "COST",
"Costs Of Energy Use": "COST",
"Housing Costs": "COST",
"Equipment And Inventory Costs": "COST",
"Transport Costs": "COST",
"Sales Costs": "COST",
"Communication Costs": "COST",
"Costs Of Other Services": "COST",
"Other Liabilities": "COST",
"Depreciation Fixed Assets": "COST",
"Operating Results": "PROFIT",
"Net Financial Income": "PROFIT",
"Balance Of Provisions": "MEASUREMENT",
"Net Extraordinary Income": "PROFIT",
"Pre Tax Results": "PROFIT",
}
