datasets,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/strict_consistency/,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/strict_consistency/,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/strict_consistency/,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/ChatGPT/soft_consistency/,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/no-context/GoogleBard/soft_consistency/,/Users/brain/Documents/GitHub/LLMs-topic-classification/results/mapped_csv/context/ChatGPT/soft_consistency/
Education_expenditure_and_indicators.csv,13/70,11/147,164/735,232/735,121/735,517/1470
Health_expectancy.csv,8/105,109/420,19/140,61/210,103/210,7/20
Listed_monuments.csv,5/12,53/120,59/120,5/12,53/120,59/120
Livestock.csv,2/3,4/9,2/3,2/3,4/9,2/3
Milk_supply_and_dairy_production.csv,2/11,8/165,49/165,82/165,8/165,64/165
Mobility.csv,10/27,77/135,68/135,10/27,77/135,68/135
Plant_protection_products.csv,17/60,1/8,13/60,31/60,1/4,29/60
Population_dynamics.csv,103/270,49/135,11/27,19/45,23/45,76/135
Social_security.csv,6/95,1/57,2/15,157/190,1/57,226/285
Trade_and_industry.csv,59/204,7/102,253/1020,109/170,131/1020,113/170
