col_headers,annotator_1,annotator_2,annotator_3
Periods,89,89,95
Total Number Of Disablement Benefits,77,79,78
Benefits WAO,77,79,77
Benefits Wajong,77,79,77
Benefits WAZ,77,79,77
Total Benefits WIA,77,79,78
Benefits IVA,77,79,77
Benefits WGA,77,79,77
Benefits WWNot Seasonally Adjusted,77,79,77
Benefits WWSeasonally Adjusted,77,79,77
Benefits IOW,77,79,77
Total Benefits Income Support,77,79,78
Benefits Income Support Up To AOWAge,77,79,78
Benefits Income Support From AOWAge,77,79,78
Benefits IOAW,77,79,77
Benefits IOAZ,77,79,77
Benefits AOW,77,79,77
Benefits Anw,77,79,77
Persons Entitled To AKW,77,79,77
