dataset,column_header,Margherita,Tobias,Anika
Education_expenditure_and_indicators,,,,
,Education Sectors,11,11,11
,Periods,89,89,95
,Total Expenditure On Education,8,8,8
,Total Government,8,58,55
,Total On Education Institutions,8,14,8
,Lump Sum Financing,8,95,5
,Contract Research,63,95,34
,Operating Costs,8,95,5
,Total Subsidies And Tax Benefits,8,95,8
,Education Component Preschool Day Care,12,12,12
,Transport Of Pupils,94,94,11
,Provisions For Disabled Students,77,11,11
,Allowance For School Costs,8,11,8
,Supervising Costs Of Companies,8,95,5
,Student Grants,77,14,11
,Student Loans,77,14,11
,Total Receipts,8,95,11
,EUSubsidies,93,95,8
,Repaid Student Grants And Loans And,77,14,5
,Interest On Student Loans,77,14,5
,Repayments On Student Loans,77,14,5
,Total Expenditure By Households,7,81,6
,Tuition Fees Subsidised Institutions,5,95,8
,Tuition Fees Private Institutions,5,95,6
,Parental Contribution School Activities,5,11,6
,Total Other Expenditures On Education,8,11,11
,Books Materials Public Transport And,95,95,11
,Wrongfully Received Student Grants And,77,14,11
,Total Allowances Received,8,95,5
,Child Care Allowance Education Component,12,79,8
,Allowances For School Costs,8,79,8
,Scholarships Of Companies,77,11,5
,Student Grants For School Fees Books,77,14,11
,Student Grants For The Cost Of Living,77,14,11
,Total Companies,8,95,5
,Total On Education Institutes,8,95,5
,Supervising Trainees And Apprentices,8,16,11
,Total Other Expenditure On Education,8,11,8
,Total Subsidies Received,77,95,8
,Total Foreign Countries,93,95,9
,International Funds,93,95,5
,In Of GDP,7,95,7
,Per Capita,7,95,7
,Total Government Exp On Education,7,11,8
,In Of Total Government Expenditure,7,95,8
,Total In Of GDP,7,95,7
,Government,58,95,55
,Households Companies Foreign Countries,93,95,5
,Per Student Including RD,11,95,11
,Per Student Excluding RD,11,95,11
Health_expectancy,,,,
,Sex,72,72,1
,Age At December31,66,66,1
,Type Of Figure,95,95,95
,Periods,89,89,95
,Life Expectancy,1,66,1
,Life Expectancy In Perceived Good Health,1,20,1
,LEWithout Moderate Severe Limitations,1,20,1
,LEWithout Severe Limitations,1,20,1
,LEWithout Light Moderate Severe Lim,1,20,1
,LEWithout Chronic Morbidity,1,20,1
,LEWithout Chr Morb Excl Hypertension,1,20,1
,LEWithout Psychological Complaints,1,20,1
,Life Expectancy Without GALILimitations,1,20,1
,Life Exp Without Severe GALILimitations,1,20,1
Listed_monuments,,,,
,Type Of Monument,30,95,30
,Regions,95,81,30
,Periods,89,89,30
,Listed Monuments And Historic Buildings,30,95,30
Livestock,,,,
,Farm Animals,91,54,91
,Periods,89,89,95
,Livestock,91,54,91
Milk_supply_and_dairy_production,,,,
,Periods,89,89,95
,Volume,90,95,90
,Fat Content,90,18,90
,Protein Content,90,18,90
,Butter,90,18,90
,Cheese,90,18,90
,Total Milk Powder,90,18,90
,Whole Milk Powder,90,18,90
,Skimmed Milk Powder,90,18,90
,Concentrated Milk,90,18,90
,Whey Powder,90,18,90
Mobility,,,,
,Travel Motives,94,94,95
,Population,1,81,1
,Travel Modes,94,94,95
,Margins,95,95,95
,Region Characteristics,95,81,95
,Periods,89,89,95
,Trips,94,94,95
,Distance Travelled,94,94,95
,Time Travelled,94,94,95
Plant_protection_products,,,,
,Plant Protection Products,54,18,52
,Periods,89,89,95
,Sales Active Ingredient,90,91,52
,Sales Active Ingredient Indexnumber,90,91,52
Population_dynamics,,,,
,Periods,89,89,95
,Population At Start Of Selected Period,1,81,1
,Live Births,4,88,2
,Deaths,4,88,2
,Immigration,3,87,3
,Emigration Including Administrative C,3,87,3
,Net Corrections,95,87,1
,Total Population Growth,1,81,1
,Population At End Of Selected Period,1,81,1
Social_security,,,,
,Periods,89,89,95
,Total Number Of Disablement Benefits,77,79,78
,Benefits WAO,77,79,77
,Benefits Wajong,77,79,77
,Benefits WAZ,77,79,77
,Total Benefits WIA,77,79,78
,Benefits IVA,77,79,77
,Benefits WGA,77,79,77
,Benefits WWNot Seasonally Adjusted,77,79,77
,Benefits WWSeasonally Adjusted,77,79,77
,Benefits IOW,77,79,77
,Total Benefits Income Support,77,79,78
,Benefits Income Support Up To AOWAge,77,79,78
,Benefits Income Support From AOWAge,77,79,78
,Benefits IOAW,77,79,77
,Benefits IOAZ,77,79,77
,Benefits AOW,77,79,77
,Benefits Anw,77,79,77
,Persons Entitled To AKW,77,79,77
Trade_and_industry,,,,
,Sector Branches SIC2008,92,95,90
,Periods,89,89,95
,Employee,34,36,34
,Employed Person,34,36,34
,Total,95,95,95
,Net Turnover,90,90,90
,Other Revenues,90,90,90
,Initial Stock Of Raw And Auxiliary Mater,90,90,90
,Purchased Raw And Auxiliary Materials,90,90,90
,Closing Stock Raw And Auxiliary Mat,90,90,90
,Initial Stock Of Commodities,90,90,90
,Purchased Commodities,90,90,90
,Closing Stock Of Commodities,90,90,90
,Payments To Subcontractors,90,90,90
,Purchase Value Not Elsewhere Classified,90,90,90
,Gross Wages And Salaries,37,36,34
,Employer Paid Social Insurance Premiums,37,36,41
,Other Social Insurance Costs,37,36,6
,Pension And Early Retirement Premiums,39,36,39
,Other Personnel Costs,37,36,90
,Costs Of Energy Use,90,51,51
,Housing Costs,32,81,31
,Equipment And Inventory Costs,90,90,90
,Transport Costs,94,94,90
,Sales Costs,90,90,90
,Communication Costs,90,90,90
,Costs Of Other Services,90,90,90
,Other Liabilities,90,90,90
,Depreciation Fixed Assets,90,90,90
,Operating Results,90,90,90
,Net Financial Income,90,90,90
,Balance Of Provisions,90,90,90
,Net Extraordinary Income,90,90,90
,Pre Tax Results,90,90,90
