col_headers,annotator_1,annotator_2,annotator_3
Education Sectors,11,11,11
Periods,80,80,95
Total Expenditure On Education,5,5,5
Total Government,5,55,55
Total On Education Institutions,5,11,5
Lump Sum Financing,5,95,5
Contract Research,63,95,34
Operating Costs,5,95,5
Total Subsidies And Tax Benefits,5,95,5
Education Component Preschool Day Care,11,11,11
Transport Of Pupils,94,94,11
Provisions For Disabled Students,76,11,11
Allowance For School Costs,5,11,5
Supervising Costs Of Companies,5,95,5
Student Grants,76,11,11
Student Loans,76,11,11
Total Receipts,5,95,11
EUSubsidies,90,95,5
Repaid Student Grants And Loans And,76,11,5
Interest On Student Loans,76,11,5
Repayments On Student Loans,76,11,5
Total Expenditure By Households,5,80,5
Tuition Fees Subsidised Institutions,5,95,5
Tuition Fees Private Institutions,5,95,5
Parental Contribution School Activities,5,11,5
Total Other Expenditures On Education,5,11,11
Books Materials Public Transport And,95,95,11
Wrongfully Received Student Grants And,76,11,11
Total Allowances Received,5,95,5
Child Care Allowance Education Component,11,76,5
Allowances For School Costs,5,76,5
Scholarships Of Companies,76,11,5
Student Grants For School Fees Books,76,11,11
Student Grants For The Cost Of Living,76,11,11
Total Companies,5,95,5
Total On Education Institutes,5,95,5
Supervising Trainees And Apprentices,5,11,11
Total Subsidies Received,76,95,5
Total Foreign Countries,90,95,5
International Funds,90,95,5
In Of GDP,5,95,5
Per Capita,5,95,5
Total Government Exp On Education,5,11,5
In Of Total Government Expenditure,5,95,5
Total In Of GDP,5,95,5
Government,55,95,55
Households Companies Foreign Countries,90,95,5
Per Student Including RD,11,95,11
Per Student Excluding RD,11,95,11
