col_headers,annotator_1,annotator_2,annotator_3
Periods,80,80,95
Total Number Of Disablement Benefits,76,76,76
Benefits WAO,76,76,76
Benefits Wajong,76,76,76
Benefits WAZ,76,76,76
Total Benefits WIA,76,76,76
Benefits IVA,76,76,76
Benefits WGA,76,76,76
Benefits WWNot Seasonally Adjusted,76,76,76
Benefits WWSeasonally Adjusted,76,76,76
Benefits IOW,76,76,76
Total Benefits Income Support,76,76,76
Benefits Income Support Up To AOWAge,76,76,76
Benefits Income Support From AOWAge,76,76,76
Benefits IOAW,76,76,76
Benefits IOAZ,76,76,76
Benefits AOW,76,76,76
Benefits Anw,76,76,76
Persons Entitled To AKW,76,76,76
