col_headers,annotator_1,annotator_2,annotator_3
Sector Branches SIC2008,90,95,90
Periods,80,80,95
Employee,34,34,34
Employed Person,34,34,34
Total,95,95,95
Net Turnover,90,90,90
Other Revenues,90,90,90
Initial Stock Of Raw And Auxiliary Mater,90,90,90
Purchased Raw And Auxiliary Materials,90,90,90
Closing Stock Raw And Auxiliary Mat,90,90,90
Initial Stock Of Commodities,90,90,90
Purchased Commodities,90,90,90
Closing Stock Of Commodities,90,90,90
Payments To Subcontractors,90,90,90
Purchase Value Not Elsewhere Classified,90,90,90
Gross Wages And Salaries,34,34,34
Employer Paid Social Insurance Premiums,34,34,34
Other Social Insurance Costs,34,34,5
Pension And Early Retirement Premiums,34,34,34
Other Personnel Costs,34,34,90
Costs Of Energy Use,90,50,50
Housing Costs,31,80,31
Equipment And Inventory Costs,90,90,90
Transport Costs,94,94,90
Sales Costs,90,90,90
Communication Costs,90,90,90
Costs Of Other Services,90,90,90
Other Liabilities,90,90,90
Depreciation Fixed Assets,90,90,90
Operating Results,90,90,90
Net Financial Income,90,90,90
Balance Of Provisions,90,90,90
Net Extraordinary Income,90,90,90
Pre Tax Results,90,90,90
