run_index,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,95,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run2,89,78,78,78,78,78,78,78,40,40,40,78,78,78,78,78,78,78,78
run3,89,21,77,77,77,77,77,77,40,40,40,77,77,77,77,77,77,77,71
run7,5,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,1
run6,89,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,1
run4,95,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run10,89,78,78,78,78,78,78,78,40,40,40,78,78,78,78,78,78,78,78
run5,89,78,78,78,78,78,78,78,34,34,34,78,78,78,78,78,78,78,78
run8,89,78,77,77,77,78,77,77,40,40,40,78,77,77,77,77,77,77,77
run9,1,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
