run_index,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,95,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run2,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run3,80,17,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,66
run7,5,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,1
run6,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,1
run4,95,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run10,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run5,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run8,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run9,1,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
