run_index,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Allowances For School Costs
run1,11,89,8,58,11,8,63,7,8,12,94,11,11,38,77,77,7,93,77,8,77,77,11,11,11,11,11,77,77,77,92,77,77,92,11,38,8,59,59,7,88,58,58,7.0,58.0,77.0,11,11,
run2,12,89,8,8,8,8,NOT_FOUND,34,8,12,94,76,76,37,76,76,8,93,76,76,76,78,12,12,12,8,12,76,76,78,92,76,76,92,8,35,8,8,8,7,88,8,7,,,,76,76,
run3,11,95,8,58,11,8,63,8,8,12,94,17,8,92,77,77,8,93,77,8,77,77,8,8,77,8,94,77,77,77,92,77,77,92,11,92,8,93,59,7,7,58,7,,,,11,11,8.0
run7,11,30,8,58,11,8,63,8,8,12,94,12,12,34,76,76,8,8,78,8,8,5,11,11,76,11,11,78,78,78,78,78,78,34,11,34,8,59,59,7,7,58,7,7.0,58.0,8.0,11,11,12.0
run6,11,30,8,58,11,8,63,5,8,12,94,21,77,92,77,77,8,59,77,8,8,5,5,5,77,5,5,77,77,21,92,77,77,92,11,92,8,59,59,7,7,58,7,7.0,58.0,77.0,7,7,
run4,11,30,5,58,11,8,63,8,8,12,94,11,11,34,34,34,5,58,34,5,5,5,11,11,11,5,11,34,34,76,34,34,34,34,11,34,8,59,59,7,7,58,7,,,,11,11,
run10,11,89,5,58,11,8,63,8,8,12,94,12,11,34,76,76,5,93,76,5,76,5,5,5,5,11,11,76,76,76,34,76,76,34,11,34,8,93,93,7,7,58,7,,,,11,11,
run5,11,30,8,58,11,8,63,8,8,12,94,76,76,34,76,76,8,59,78,78,78,8,12,12,76,11,94,76,76,76,34,76,76,92,11,34,8,93,59,7,7,58,7,,,,76,76,
run8,11,1,5,5,11,5,11,5,8,12,11,12,12,34,76,76,5,93,76,5,5,5,11,11,11,11,11,76,76,76,76,76,76,5,11,34,8,5,5,7,7,8,8,7.0,58.0,5.0,5,5,
run9,12,95,8,8,8,8,8,8,8,12,94,15,15,34,15,15,8,93,15,15,15,8,12,12,12,8,94,15,15,15,34,15,15,34,8,34,8,8,8,7,7,8,7,,,,15,15,
