run_index,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,1,90,17,17,90,90,90,90,90,90,90
run2,1,5,17,17,91,91,91,91,91,91,91
run3,95,5,17,17,6,6,90,90,90,90,90
run7,1,90,17,17,90,90,90,90,90,90,90
run6,1,90,17,17,90,90,90,90,90,90,90
run4,1,5,17,17,90,90,90,90,90,90,90
run10,95,95,18,18,6,6,6,6,6,6,6
run5,1,5,17,17,5,5,5,5,5,5,5
run8,95,95,18,18,6,6,6,6,6,6,6
run9,95,90,17,17,90,90,90,90,90,90,90
