run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,95,80,90,90,90,90,90,90,90,90,90,90
run2,95,80,90,90,90,90,90,90,90,90,90,90
run3,95,95,90,90,90,90,90,90,90,90,90,90
run7,95,95,90,90,90,90,90,90,90,90,90,90
run6,95,80,90,90,90,90,90,90,90,90,90,90
run4,95,95,90,90,90,90,90,90,90,90,90,90
run10,95,80,90,90,90,90,90,90,90,90,90,90
run5,95,95,90,90,90,90,90,90,90,90,90,90
run8,95,80,90,90,90,90,90,90,90,90,90,90
run9,95,95,90,90,90,90,90,90,90,90,90,90
