run_index,ID,Periods,Population At Start Of Selected Period,Live Births,Deaths,Immigration,Emigration Including Administrative C,Net Corrections,Total Population Growth,Population At End Of Selected Period
run1,95,NOT_FOUND,1,1,1,1,1,95,1,1
run2,95,NOT_FOUND,1,1,1,1,1,95,1,1
run3,95,NOT_FOUND,1,1,1,1,1,95,1,1
run7,95,NOT_FOUND,1,1,1,1,1,95,1,1
run6,95,NOT_FOUND,1,1,1,1,1,95,1,1
run4,95,NOT_FOUND,1,1,1,1,1,95,1,1
run10,95,NOT_FOUND,1,1,1,1,1,95,1,1
run5,95,NOT_FOUND,1,1,1,1,1,95,1,1
run8,95,80,1,1,1,1,1,95,1,1
run9,95,80,1,1,1,1,1,95,1,1
