run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,95,89,91,91,91,91,91,91,91,91,91,91
run2,95,89,91,91,91,91,91,91,91,91,91,91
run3,95,95,91,91,91,91,91,91,91,91,91,91
run7,95,95,91,91,91,91,91,91,91,91,91,91
run6,95,89,91,91,91,91,91,91,91,91,91,91
run4,95,95,91,91,91,91,91,91,91,91,91,91
run10,95,89,91,91,91,91,91,91,91,91,91,91
run5,95,95,91,91,91,91,91,91,91,91,91,91
run8,95,89,91,91,91,91,91,91,91,91,91,91
run9,95,95,91,91,91,91,91,91,91,91,91,91
