run_index,ID,Travel Motives,Population,Travel Modes,Margins,Region Characteristics,Periods,Trips,Distance Travelled,Time Travelled
run1,95,66,1,94,95,1,89,94,94,94
run2,95,66,1,94,95,1,89,94,94,94
run3,95,NOT_FOUND,1,94,95,1,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,95,88,1,94,95,1,89,94,94,94
run6,95,88,1,94,95,1,89,94,94,94
run4,95,NOT_FOUND,1,94,95,1,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run10,95,88,1,94,95,1,89,94,94,94
run5,95,NOT_FOUND,1,94,95,1,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run8,95,88,1,94,95,1,89,94,94,94
run9,95,88,1,94,95,1,89,94,94,94
