run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run2,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run3,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run7,95,95,78,78,78,78,78,78,78,40,40,40,78,78,78,78,78,78,78,78
run6,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run4,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run10,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run5,95,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run8,95,95,78,78,78,78,78,78,78,40,40,40,78,78,78,78,78,78,78,78
run9,95,95,78,78,78,78,78,78,78,40,40,40,78,78,78,78,78,78,78,78
