run_index,ID,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Repaid Student Grants And Loans And Interest On Student Loans,Total Expenditure On Education In Of GDP,Total Government Exp On Education In Of GDP
run1,1,11,80,5,5,5,5,63,5,5,11,94,17,76,90,76,76,5,90,76.0,17,76,5,11,11,80,5,80,76,76,76,76,66,76,76,90,5,90,5,5,55,55,5.0,5,5.0,5,5,5,80,5,5,,,
run2,1,11,95,11,5,11,5,63,5,5,11,94,17,76,90,76,5,5,90,,17,5,80,11,11,66,11,80,76,76,76,76,66,76,76,90,11,90,11,5,55,55,5.0,5,5.0,5,5,55,80,11,11,5.0,,
run3,1,11,95,5,5,NOT_FOUND,5,63,5,5,11,94,11,5,90,76,76,5,90,76.0,17,76,5,11,11,66,5,80,76,76,76,76,66,76,76,90,NOT_FOUND,90,5,5,90,90,5.0,5,5.0,5,5,55,66,5,5,,,
run7,1,11,80,5,5,11,5,63,5,5,11,94,11,76,90,76,76,5,90,,17,17,80,11,11,66,5,80,76,76,76,76,66,76,76,90,11,90,5,5,55,55,5.0,5,5.0,5,5,55,76,11,11,76.0,,
run6,1,11,95,5,5,NOT_FOUND,5,63,5,5,11,94,17,76,34,76,76,5,90,76.0,76,76,76,11,11,66,76,80,76,76,76,76,66,76,76,90,NOT_FOUND,34,76,5,55,55,5.0,5,5.0,5,5,NOT_FOUND,76,11,11,,,
run4,1,11,95,5,5,NOT_FOUND,5,63,5,5,11,94,11,76,90,76,76,5,90,,17,76,80,11,11,66,76,80,76,76,76,76,66,76,76,90,NOT_FOUND,90,76,5,90,55,5.0,5,5.0,5,5,NOT_FOUND,80,5,5,76.0,,
run10,1,11,95,11,5,11,5,63,5,5,11,94,11,76,34,76,76,5,90,,76,76,76,11,11,76,11,80,76,76,76,76,66,76,76,90,11,34,11,5,95,55,5.0,5,5.0,5,5,55,95,5,5,76.0,,
run5,1,11,80,5,5,5,5,63,5,5,11,94,11,76,34,76,76,5,90,76.0,17,76,80,11,11,66,5,80,76,76,76,76,66,76,76,90,5,34,5,5,55,55,5.0,5,5.0,5,5,55,80,11,11,,,
run8,1,11,1,5,5,11,5,63,5,5,11,94,11,5,34,66,66,5,5,,66,66,5,11,11,66,11,80,66,66,76,66,66,66,66,90,11,34,11,5,1,5,,1,,5,5,55,1,5,5,66.0,5.0,5.0
run9,1,11,1,5,5,11,5,63,5,5,11,94,11,5,34,76,76,5,90,76.0,76,76,5,11,11,76,5,80,76,76,76,76,66,76,76,90,11,34,5,5,90,55,5.0,5,5.0,5,5,55,76,5,5,,,
