run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,1,1,5,17,17,90,90,90,90,90,90,90
run2,1,1,5,17,17,90,90,90,90,90,90,90
run3,1,1,90,17,17,90,90,90,90,90,90,90
run7,1,1,5,17,17,17,17,17,17,17,17,17
run6,1,80,90,17,17,90,90,90,90,90,90,90
run4,1,80,90,17,17,17,17,90,90,90,90,90
run10,1,1,90,17,17,90,90,90,90,90,90,90
run5,1,80,90,17,17,90,90,90,90,90,90,90
run8,1,80,90,17,17,90,90,90,90,90,90,90
run9,1,1,5,17,17,17,17,17,17,17,17,17
