run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run2,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run3,34,80,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run7,80,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,66
run6,34,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run4,34,80,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run10,76,80,76,76,76,76,76,17,76,34,34,34,76,76,76,76,76,76,76,76
run5,1,1,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run8,34,80,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run9,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
