run_index,ID,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Repaid Student Grants And Loans And Interest On Student Loans,Total Expenditure On Education In Of GDP,Total Government Exp On Education In Of GDP
run1,1,11,88,8,8,8,8,63,8,8,12,94,26,79,92,79,79,7,93,79.0,22,79,7,12,12,88,8,82,79,79,77,79,69,79,79,92,8,92,8,8,59,59,7.0,7,8.0,7,7,8,88,7,7,,,
run2,1,11,95,11,5,11,5,63,5,5,12,94,26,79,92,79,10,5,93,,22,10,88,12,14,71,11,82,76,76,76,79,69,79,79,92,11,92,11,5,59,59,5.0,5,5.0,5,5,58,88,11,11,10.0,,
run3,1,11,95,8,8,NOT_FOUND,8,63,7,8,12,94,12,10,92,79,79,7,93,79.0,22,79,7,12,14,71,8,82,79,79,76,76,69,79,79,92,NOT_FOUND,92,8,8,93,93,7.0,7,8.0,7,7,58,66,7,7,,,
run7,1,11,89,8,8,11,8,63,7,8,12,94,12,79,92,79,79,7,93,,22,22,88,14,14,71,8,82,79,79,78,79,69,79,79,92,11,92,8,8,59,59,7.0,7,8.0,7,7,58,78,11,11,79.0,,
run6,1,11,95,8,8,NOT_FOUND,8,63,8,8,12,94,26,79,34,79,79,8,93,79.0,79,79,78,14,14,71,78,82,79,79,78,79,69,79,79,92,NOT_FOUND,37,78,8,59,59,7.0,7,8.0,7,7,NOT_FOUND,78,11,11,,,
run4,1,11,95,8,8,NOT_FOUND,8,63,7,8,12,94,12,79,92,79,79,7,93,,22,79,88,12,12,71,79,82,79,79,77,79,69,79,79,92,NOT_FOUND,92,79,8,93,59,7.0,7,8.0,7,7,NOT_FOUND,88,7,7,79.0,,
run10,1,11,95,11,5,11,5,63,5,5,12,94,12,79,34,76,76,5,93,,76,76,76,14,14,76,11,82,76,79,76,79,69,76,76,92,11,34,11,5,95,59,5.0,5,5.0,5,5,55,95,5,5,76.0,,
run5,1,11,89,8,8,8,8,63,7,8,12,94,12,79,34,79,79,7,93,79.0,22,79,88,14,14,71,7,82,79,79,76,79,69,79,79,92,8,34,7,8,59,59,7.0,7,8.0,7,7,58,88,11,11,,,
run8,1,11,1,5,5,11,5,63,5,5,12,94,12,10,34,66,66,5,5,,66,66,5,14,14,71,11,82,66,66,76,66,69,66,66,92,11,34,11,5,1,5,,1,,5,5,58,1,5,5,66.0,5.0,5.0
run9,1,11,1,8,8,12,8,63,8,8,12,94,12,10,37,76,76,8,93,76.0,76,76,8,12,14,76,8,82,76,76,76,76,69,76,76,92,12,37,8,8,93,59,7.0,7,8.0,7,7,58,76,7,7,,,
