run_index,ID,Sex,Age At December31,Type Of Figure,Periods,Life Expectancy,Life Expectancy In Perceived Good Health,LEWithout Moderate Severe Limitations,LEWithout Severe Limitations,LEWithout Light Moderate Severe Lim,LEWithout Chronic Morbidity,LEWithout Chr Morb Excl Hypertension,LEWithout Psychological Complaints,Life Expectancy Without GALILimitations,Life Exp Without Severe GALILimitations
run1,1,1,1,1,1,17,17,17,17,17,4,4,NOT_FOUND,17,17
run2,1,1,1,66,89,17,17,17,17,17,4,4,NOT_FOUND,17,17
run3,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17
run7,1,1,1,66,88,17,17,17,17,17,4,4,NOT_FOUND,17,17
run6,1,1,1,1,1,17,17,17,17,17,4,4,4,17,17
run4,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17
run10,1,1,1,1,1,17,17,17,17,17,17,17,17,17,17
run5,1,1,1,1,1,1,17,17,17,17,4,4,NOT_FOUND,17,17
run8,1,1,1,88,89,20,20,20,20,20,4,4,NOT_FOUND,20,20
run9,1,1,1,1,1,17,17,17,17,17,4,4,4,17,17
