run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,1,1,5,18,18,91,91,91,91,91,91,91
run2,1,1,5,18,18,91,91,91,91,91,91,91
run3,1,1,90,18,18,92,92,91,91,91,91,91
run7,1,1,5,18,18,18,18,18,18,18,18,18
run6,1,89,90,18,18,90,90,91,91,91,91,91
run4,1,89,90,18,18,18,18,91,91,91,91,91
run10,1,1,90,18,18,91,91,91,91,91,91,91
run5,1,89,90,18,18,91,91,91,91,91,91,91
run8,1,89,90,18,18,91,91,91,91,91,91,91
run9,1,1,5,18,18,18,18,18,18,18,18,18
