run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run2,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
run3,34,89,76,78,78,78,78,78,78,40,40,78,77,78,78,78,78,78,78,78
run7,88,89,78,77,78,78,78,77,77,34,34,34,78,77,77,77,77,78,78,71
run6,34,89,76,76,76,76,76,76,76,40,40,40,76,76,76,76,76,76,76,76
run4,34,89,76,76,76,76,76,76,76,40,40,76,76,76,76,76,76,76,76,76
run10,76,89,78,78,78,78,78,21,78,40,40,40,78,78,78,78,78,78,78,78
run5,1,1,76,76,76,76,76,76,76,34,34,34,76,76,76,76,76,76,76,76
run8,34,89,76,76,76,76,76,76,76,40,40,40,76,76,76,76,76,76,76,76
run9,1,1,76,76,76,76,76,76,76,34,34,76,76,76,76,76,76,76,76,76
