run_index,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder,Volumne,Butten
run1,95,95.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run2,89,95.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run3,95,95.0,NOT_FOUND,NOT_FOUND,91,91,91,91,91,91,91,,
run7,95,,NOT_FOUND,NOT_FOUND,,91,91,91,91,91,91,95.0,91
run6,95,,NOT_FOUND,NOT_FOUND,,91,91,91,91,91,91,95.0,91
run4,95,95.0,NOT_FOUND,NOT_FOUND,91,91,91,91,91,91,91,,
run10,95,,95,95,,95,95,95,95,95,95,95.0,95
run5,95,95.0,NOT_FOUND,NOT_FOUND,91,91,91,91,91,91,91,,
run8,95,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,95.0,NOT_FOUND
run9,95,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,95.0,NOT_FOUND
