run_index,Periods,Population At Start Of Selected Period,Live Births,Deaths,Immigration,Emigration,Net Corrections,Total Population Growth,Population At End Of Selected Period,Emigration Including Administrative C
run1,NOT_FOUND,1,1,1,3,3.0,95,1,1,
run2,89,1,1,1,3,3.0,95,1,1,
run3,89,1,1,1,3,3.0,1,1,1,
run7,NOT_FOUND,1,1,1,3,3.0,95,1,1,
run6,NOT_FOUND,1,1,1,3,3.0,1,1,1,
run4,NOT_FOUND,1,1,1,3,3.0,95,1,1,
run10,95,1,1,1,3,,95,1,1,3.0
run5,1,1,1,1,3,,1,1,1,3.0
run8,NOT_FOUND,1,1,1,3,,1,1,1,3.0
run9,NOT_FOUND,1,1,1,3,,1,1,1,3.0
