run_index,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,95,NOT_FOUND,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run2,95,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run3,95,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,95,NOT_FOUND,79,79,79,NOT_FOUND,79,79,40,40,79,NOT_FOUND,79,79,79,79,79,79,77
run6,95,NOT_FOUND,79,79,79,NOT_FOUND,79,79,40,40,79,NOT_FOUND,79,79,79,79,79,79,77
run4,95,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,40,40,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run10,95,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,40,40,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run5,95,NOT_FOUND,79,79,79,NOT_FOUND,79,79,40,40,79,NOT_FOUND,79,79,79,79,79,79,77
run8,95,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78
run9,95,NOT_FOUND,79,79,79,NOT_FOUND,79,79,40,40,79,NOT_FOUND,79,79,79,79,79,79,77
