run_index,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD
run1,11,95,11,5,11,5,63,5,5,11,94,11,11,90,11,76,5,90,11,5,5,5,11,11,11,5,11,11,5,76,76,76,76,76,90,11,11,11,90,90,90,5,5,11,5,5,55,90,11,11
run2,11,80,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,5,5,11,94,NOT_FOUND,5,90,5,NOT_FOUND,5,55,5,5,5,5,5,NOT_FOUND,5,5,5,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,5,55,55,5,80,55,5,5,55,NOT_FOUND,NOT_FOUND,NOT_FOUND
run3,11,95,NOT_FOUND,11,NOT_FOUND,11,NOT_FOUND,11,11,11,94,NOT_FOUND,11,90,11,NOT_FOUND,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,11,95,NOT_FOUND,11,NOT_FOUND,11,NOT_FOUND,11,11,11,NOT_FOUND,NOT_FOUND,11,90,11,NOT_FOUND,11,55,11,11,11,11,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,NOT_FOUND,55,55,5,5,NOT_FOUND,NOT_FOUND,5,55,5,NOT_FOUND,NOT_FOUND
run6,11,80,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,5,5,11,NOT_FOUND,NOT_FOUND,76,90,76,NOT_FOUND,5,55,5,5,5,5,5,NOT_FOUND,76,5,5,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,NOT_FOUND,55,55,5,5,NOT_FOUND,NOT_FOUND,5,55,5,NOT_FOUND,NOT_FOUND
run4,11,80,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,5,5,11,94,NOT_FOUND,76,90,76,NOT_FOUND,5,55,5,5,5,5,5,NOT_FOUND,76,5,5,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,5,55,55,5,80,55,5,5,55,5,NOT_FOUND,NOT_FOUND
run10,11,95,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,90,5,NOT_FOUND,5,55,5,5,5,5,5,NOT_FOUND,5,5,5,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,NOT_FOUND,55,55,5,5,NOT_FOUND,NOT_FOUND,5,55,NOT_FOUND,NOT_FOUND,NOT_FOUND
run5,11,80,NOT_FOUND,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,5,5,11,NOT_FOUND,NOT_FOUND,76,90,76,NOT_FOUND,5,90,5,5,5,5,5,NOT_FOUND,76,5,95,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,NOT_FOUND,90,90,5,5,NOT_FOUND,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,NOT_FOUND
run8,11,80,11,5,11,NOT_FOUND,63,5,5,11,94,11,76,90,76,76,5,90,5,5,5,5,5,11,76,5,95,5,5,76,76,11,76,76,90,11,11,11,90,90,90,5,5,55,5,5,55,90,11,11
run9,11,80,NOT_FOUND,5,NOT_FOUND,5,NOT_FOUND,5,5,11,94,NOT_FOUND,76,90,76,NOT_FOUND,5,55,5,5,5,5,5,NOT_FOUND,76,5,5,5,5,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,90,NOT_FOUND,11,NOT_FOUND,5,55,55,5,80,NOT_FOUND,NOT_FOUND,5,NOT_FOUND,90,NOT_FOUND,NOT_FOUND
