run_index,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder,Volumne,Butten
run1,95,95.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run2,80,95.0,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,,
run3,95,95.0,NOT_FOUND,NOT_FOUND,90,90,90,90,90,90,90,,
run7,95,,NOT_FOUND,NOT_FOUND,,90,90,90,90,90,90,95.0,90
run6,95,,NOT_FOUND,NOT_FOUND,,90,90,90,90,90,90,95.0,90
run4,95,95.0,NOT_FOUND,NOT_FOUND,90,90,90,90,90,90,90,,
run10,95,,95,95,,95,95,95,95,95,95,95.0,95
run5,95,95.0,NOT_FOUND,NOT_FOUND,90,90,90,90,90,90,90,,
run8,95,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,95.0,NOT_FOUND
run9,95,,NOT_FOUND,NOT_FOUND,,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,95.0,NOT_FOUND
