run_index,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD
run1,11,95,11,7,11,8,63,7,8,11,94,11,11,92,11,77,7,93,11,7,7,7,11,11,11,7,11,11,7,77,77,77,77,77,92,11,16,11,92,92,93,7,7,11,7,7,55,92,11,11
run2,11,89,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,12,94,NOT_FOUND,8,92,8,NOT_FOUND,7,59,8,7,8,7,8,NOT_FOUND,8,7,7,8,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,8,59,59,7,88,58,7,7,58,NOT_FOUND,NOT_FOUND,NOT_FOUND
run3,11,95,NOT_FOUND,11,NOT_FOUND,11,NOT_FOUND,11,11,11,94,NOT_FOUND,11,92,11,NOT_FOUND,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,11,95,NOT_FOUND,11,NOT_FOUND,11,NOT_FOUND,11,11,11,NOT_FOUND,NOT_FOUND,11,92,11,NOT_FOUND,11,59,11,11,11,11,11,NOT_FOUND,11,11,11,11,11,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,59,59,7,7,NOT_FOUND,NOT_FOUND,7,58,7,NOT_FOUND,NOT_FOUND
run6,11,89,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,11,NOT_FOUND,NOT_FOUND,76,92,76,NOT_FOUND,7,59,7,7,7,7,8,NOT_FOUND,76,7,7,7,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,59,59,7,7,NOT_FOUND,NOT_FOUND,7,58,7,NOT_FOUND,NOT_FOUND
run4,11,89,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,11,94,NOT_FOUND,76,92,76,NOT_FOUND,7,59,7,7,7,7,8,NOT_FOUND,76,7,7,7,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,8,59,59,7,88,58,7,7,58,7,NOT_FOUND,NOT_FOUND
run10,11,95,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,NOT_FOUND,NOT_FOUND,NOT_FOUND,7,92,8,NOT_FOUND,7,59,8,7,7,7,8,NOT_FOUND,7,7,7,8,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,59,59,7,7,NOT_FOUND,NOT_FOUND,7,58,NOT_FOUND,NOT_FOUND,NOT_FOUND
run5,11,89,NOT_FOUND,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,7,7,11,NOT_FOUND,NOT_FOUND,77,92,77,NOT_FOUND,7,93,7,7,7,7,7,NOT_FOUND,77,7,95,7,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,NOT_FOUND,93,93,7,7,NOT_FOUND,NOT_FOUND,7,NOT_FOUND,7,NOT_FOUND,NOT_FOUND
run8,11,89,11,7,11,NOT_FOUND,63,7,7,11,94,11,77,92,77,77,7,93,7,7,7,7,7,11,77,7,95,7,7,77,77,11,77,77,92,11,16,11,92,92,93,7,7,58,7,7,58,92,11,11
run9,11,89,NOT_FOUND,7,NOT_FOUND,8,NOT_FOUND,7,8,11,94,NOT_FOUND,76,92,76,NOT_FOUND,7,59,7,7,7,7,8,NOT_FOUND,76,7,7,7,7,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,92,NOT_FOUND,16,NOT_FOUND,7,59,59,7,88,NOT_FOUND,NOT_FOUND,7,NOT_FOUND,90,NOT_FOUND,NOT_FOUND
