run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,95,80,95,17,17,90,90,90,90,90,90,90
run2,95,80,95,17,17,90,90,90,90,90,90,90
run3,95,80,95,17,17,90,90,90,90,90,90,90
run7,95,80,95,17,17,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run6,95,80,95,17,17,17,17,90,90,90,90,90
run4,95,80,95,17,17,90,90,90,90,90,90,90
run10,95,80,95,17,17,17,17,17,17,17,17,17
run5,95,80,95,17,17,90,90,90,90,90,90,90
run8,95,80,95,17,17,17,17,17,17,17,17,17
run9,95,80,95,17,17,17,17,17,17,17,17,17
