run_index,ID,Periods,Total Number Of Disablement Benefits,Benefits WAO,Benefits Wajong,Benefits WAZ,Total Benefits WIA,Benefits IVA,Benefits WGA,Benefits WWNot Seasonally Adjusted,Benefits WWSeasonally Adjusted,Benefits IOW,Total Benefits Income Support,Benefits Income Support Up To AOWAge,Benefits Income Support From AOWAge,Benefits IOAW,Benefits IOAZ,Benefits AOW,Benefits Anw,Persons Entitled To AKW
run1,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run2,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run3,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run7,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run6,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run4,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run10,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run5,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run8,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
run9,95,95,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
