run_index,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Allowances For School Costs
run1,EDUCATION,Time use,"Economic policy, public expenditure and revenue","Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,EDUCATION,EDUCATION,Labour relations/conflict,Social welfare policy,Social welfare policy,Economic conditions and indicators,Foreign trade,Social welfare policy,"Economic policy, public expenditure and revenue",Social welfare policy,Social welfare policy,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,Social welfare policy,Social welfare policy,Social welfare policy,Business/industrial management and organisation,Social welfare policy,Social welfare policy,Business/industrial management and organisation,EDUCATION,Labour relations/conflict,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Social conditions and indicators,"Government, political systems and organisations","Government, political systems and organisations",Economic conditions and indicators,"Government, political systems and organisations",Social welfare policy,EDUCATION,EDUCATION,
run2,Compulsory and pre-school education,Time use,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",NOT_FOUND,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Labour and employment policy,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue",Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Social welfare systems/structures,Compulsory and pre-school education,Compulsory and pre-school education,Compulsory and pre-school education,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Social welfare systems/structures,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",Employee training,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Economic conditions and indicators,Social conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,,,,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,
run3,EDUCATION,OTHER,"Economic policy, public expenditure and revenue","Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,HEALTH,"Economic policy, public expenditure and revenue",Business/industrial management and organisation,Social welfare policy,Social welfare policy,"Economic policy, public expenditure and revenue",Foreign trade,Social welfare policy,"Economic policy, public expenditure and revenue",Social welfare policy,Social welfare policy,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Social welfare policy,"Economic policy, public expenditure and revenue",TRANSPORT AND TRAVEL,Social welfare policy,Social welfare policy,Social welfare policy,Business/industrial management and organisation,Social welfare policy,Social welfare policy,Business/industrial management and organisation,EDUCATION,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",Foreign trade,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,,,,EDUCATION,EDUCATION,"Economic policy, public expenditure and revenue"
run7,EDUCATION,HISTORY,"Economic policy, public expenditure and revenue","Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,Compulsory and pre-school education,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Social welfare systems/structures,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Economics,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,EDUCATION,EDUCATION,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,LABOUR AND EMPLOYMENT,EDUCATION,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations","Economic policy, public expenditure and revenue",EDUCATION,EDUCATION,Compulsory and pre-school education
run6,EDUCATION,HISTORY,"Economic policy, public expenditure and revenue","Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economics,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Health care services and policies,Social welfare policy,Business/industrial management and organisation,Social welfare policy,Social welfare policy,"Economic policy, public expenditure and revenue",International politics and organisations,Social welfare policy,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Economics,Economics,Economics,Social welfare policy,Economics,Economics,Social welfare policy,Social welfare policy,Health care services and policies,Business/industrial management and organisation,Social welfare policy,Social welfare policy,Business/industrial management and organisation,EDUCATION,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Social welfare policy,Economic conditions and indicators,Economic conditions and indicators,
run4,EDUCATION,HISTORY,Economics,"Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,EDUCATION,EDUCATION,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,"Government, political systems and organisations",LABOUR AND EMPLOYMENT,Economics,Economics,Economics,EDUCATION,EDUCATION,EDUCATION,Economics,EDUCATION,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,EDUCATION,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,,,,EDUCATION,EDUCATION,
run10,EDUCATION,Time use,Economics,"Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,EDUCATION,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Economics,Economics,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,EDUCATION,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",Foreign trade,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,,,,EDUCATION,EDUCATION,
run5,EDUCATION,HISTORY,"Economic policy, public expenditure and revenue","Government, political systems and organisations",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue",International politics and organisations,Social welfare systems/structures,Social welfare systems/structures,Social welfare systems/structures,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,Compulsory and pre-school education,SOCIAL WELFARE POLICY AND SYSTEMS,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,EDUCATION,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",Foreign trade,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Economic conditions and indicators,,,,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,
run8,EDUCATION,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Economics,EDUCATION,Economics,EDUCATION,Economics,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,EDUCATION,Compulsory and pre-school education,Compulsory and pre-school education,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Economics,EDUCATION,EDUCATION,EDUCATION,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",Economics,Economics,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Economic conditions and indicators,"Government, political systems and organisations",Economics,Economics,Economics,
run9,Compulsory and pre-school education,OTHER,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Life-long/continuing education,Life-long/continuing education,LABOUR AND EMPLOYMENT,Life-long/continuing education,Life-long/continuing education,"Economic policy, public expenditure and revenue",Foreign trade,Life-long/continuing education,Life-long/continuing education,Life-long/continuing education,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,Compulsory and pre-school education,Compulsory and pre-school education,"Economic policy, public expenditure and revenue",TRANSPORT AND TRAVEL,Life-long/continuing education,Life-long/continuing education,Life-long/continuing education,LABOUR AND EMPLOYMENT,Life-long/continuing education,Life-long/continuing education,LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue",LABOUR AND EMPLOYMENT,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,,,,Life-long/continuing education,Life-long/continuing education,
