run_index,Sex,Age At December31,Type Of Figure,Periods,Life Expectancy,Life Expectancy In Perceived Good Health,LEWithout Moderate Severe Limitations,LEWithout Severe Limitations,LEWithout Light Moderate Severe Lim,LEWithout Chronic Morbidity,LEWithout Chr Morb Excl Hypertension,LEWithout Psychological Complaints,Life Expectancy Without GALILimitations,Life Exp Without Severe GALILimitations
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Time use,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Time use,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,Time use,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
