run_index,Farm Animals,Periods,Livestock
run1,Agriculture and rural industry,Time use,Agriculture and rural industry
run2,Agriculture and rural industry,Time use,Agriculture and rural industry
run3,Agriculture and rural industry,Time use,Agriculture and rural industry
run7,Agriculture and rural industry,Time use,Agriculture and rural industry
run6,Agriculture and rural industry,Time use,Agriculture and rural industry
run4,Agriculture and rural industry,Time use,Agriculture and rural industry
run10,Agriculture and rural industry,Time use,Agriculture and rural industry
run5,Agriculture and rural industry,Time use,Agriculture and rural industry
run8,Agriculture and rural industry,Time use,Agriculture and rural industry
run9,Agriculture and rural industry,Time use,Agriculture and rural industry
