run_index,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"TRADE, INDUSTRY AND MARKETS",HEALTH,HEALTH,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,HEALTH,HEALTH,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run3,OTHER,Economics,HEALTH,HEALTH,Consumption and consumer behaviour,Consumption and consumer behaviour,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"TRADE, INDUSTRY AND MARKETS",HEALTH,HEALTH,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"TRADE, INDUSTRY AND MARKETS",HEALTH,HEALTH,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,HEALTH,HEALTH,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run10,OTHER,OTHER,Diet and nutrition,Diet and nutrition,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,HEALTH,HEALTH,Economics,Economics,Economics,Economics,Economics,Economics,Economics
run8,OTHER,OTHER,Diet and nutrition,Diet and nutrition,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour,Consumption and consumer behaviour
run9,OTHER,"TRADE, INDUSTRY AND MARKETS",HEALTH,HEALTH,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
