run_index,Travel Motives,Population,Travel Modes,Margins,Region Characteristics,Periods,Trips,Distance Travelled,Time Travelled
run1,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run2,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,SOCIETY AND CULTURE,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run3,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,NOT_FOUND,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run7,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,SOCIETY AND CULTURE,Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run6,TRANSPORT AND TRAVEL,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run4,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run10,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run5,TRANSPORT AND TRAVEL,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run8,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
run9,Social behaviour and attitudes,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,"Community, urban and rural life",Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,Time use
