run_index,Plant Protection Products,Periods,Sales Active Ingredient,Sales Active Ingredient Indexnumber
run1,Agriculture and rural industry,Time use,Business/industrial management and organisation,Economic conditions and indicators
run2,Agriculture and rural industry,Time use,Business/industrial management and organisation,Business/industrial management and organisation
run3,Agriculture and rural industry,Time use,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run7,Agriculture and rural industry,Time use,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
run6,Agriculture and rural industry,Time use,Economics,Economic conditions and indicators
run4,Agriculture and rural industry,Time use,Business/industrial management and organisation,OTHER
run10,Agriculture and rural industry,Time use,Business/industrial management and organisation,Economic conditions and indicators
run5,Agriculture and rural industry,Time use,Business/industrial management and organisation,Business/industrial management and organisation
run8,Agriculture and rural industry,Time use,Business/industrial management and organisation,Economic conditions and indicators
run9,Agriculture and rural industry,Time use,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS"
