run_index,Periods,Population At Start Of Selected Period,Live Births,Deaths,Immigration,Emigration Including Administrative C,Net Corrections,Total Population Growth,Population At End Of Selected Period
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run3,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Morbidity and mortality,Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
