run_index,Sector Branches SIC2008,Periods,Employee,Employed Person,Total,Net Turnover,Other Revenues,Initial Stock Of Raw And Auxiliary Mater,Purchased Raw And Auxiliary Materials,Closing Stock Raw And Auxiliary Mat,Initial Stock Of Commodities,Purchased Commodities,Closing Stock Of Commodities,Payments To Subcontractors,Purchase Value Not Elsewhere Classified,Gross Wages And Salaries,Employer Paid Social Insurance Premiums,Other Social Insurance Costs,Pension And Early,Retirement Premiums,Other Personnel Costs,Costs Of Energy Use,Housing Costs,Equipment And Inventory Costs,Transport Costs,Sales Costs,Communication Costs,Costs Of Other Services,Other Liabilities,Depreciation Fixed Assets,Operating Results,Net Financial Income,Balance Of Provisions,Net Extraordinary Income,Pre Tax Results
run1,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,Labour and employment policy,Labour and employment policy,Social welfare systems/structures,Social welfare systems/structures,Labour and employment policy,NATURAL ENVIRONMENT,Housing,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,OTHER,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run2,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run3,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Economics,Economics,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run7,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",HOUSING AND LAND USE,"TRADE, INDUSTRY AND MARKETS",TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","MEDIA, COMMUNICATION AND LANGUAGE","TRADE, INDUSTRY AND MARKETS",Economics,"TRADE, INDUSTRY AND MARKETS",Economics,Economics,Economics,Economics,Economics
run6,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run4,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,Labour and employment policy,Labour and employment policy,Labour and employment policy,Labour and employment policy,Labour and employment policy,Economic conditions and indicators,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economic conditions and indicators,Economics,Economics,Economics,Economics
run10,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,Economic conditions and indicators,Economic conditions and indicators,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,"TRADE, INDUSTRY AND MARKETS",HOUSING AND LAND USE,"TRADE, INDUSTRY AND MARKETS",TRANSPORT AND TRAVEL,"TRADE, INDUSTRY AND MARKETS","MEDIA, COMMUNICATION AND LANGUAGE","TRADE, INDUSTRY AND MARKETS",Economics,"TRADE, INDUSTRY AND MARKETS",Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Economic conditions and indicators
run5,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run8,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,Economics,Economics,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,Economics,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,Economics,Business/industrial management and organisation,Economics,Economics,Economics,Economics,Economics
run9,"TRADE, INDUSTRY AND MARKETS",Time use,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,OTHER,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,Business/industrial management and organisation,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,LABOUR AND EMPLOYMENT,NATURAL ENVIRONMENT,HOUSING AND LAND USE,Business/industrial management and organisation,TRANSPORT AND TRAVEL,Business/industrial management and organisation,"MEDIA, COMMUNICATION AND LANGUAGE",Business/industrial management and organisation,OTHER,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS","TRADE, INDUSTRY AND MARKETS",Business/industrial management and organisation,Business/industrial management and organisation,"TRADE, INDUSTRY AND MARKETS"
