run_index,ID,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households,Companies,Foreign Countries,Per Student Including RD,Per Student Excluding RD,Households Companies Foreign Countries,"Government, Households Companies Foreign Countries"
run1,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economics,Vocational education and training,EDUCATION,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Business/industrial management and organisation,Foreign trade,EDUCATION,EDUCATION,,
run2,OTHER,EDUCATION,OTHER,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,ECONOMICS,Foreign trade,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,SOCIAL WELFARE POLICY AND SYSTEMS,ECONOMICS,ECONOMICS,ECONOMICS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,ECONOMICS,Business/industrial management and organisation,ECONOMICS,ECONOMICS,Foreign trade,Foreign trade,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,,,,EDUCATION,EDUCATION,ECONOMICS,
run3,OTHER,EDUCATION,OTHER,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,ECONOMICS,Foreign trade,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,SOCIAL WELFARE POLICY AND SYSTEMS,ECONOMICS,ECONOMICS,ECONOMICS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,ECONOMICS,Business/industrial management and organisation,ECONOMICS,ECONOMICS,Foreign trade,Foreign trade,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,ECONOMICS,,,,EDUCATION,EDUCATION,ECONOMICS,
run7,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,Economics,Economics,Economics,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,,,,,EDUCATION,EDUCATION,,OTHER
run6,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,Economics,Economics,Economics,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,,,,,EDUCATION,EDUCATION,,OTHER
run4,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,"Government, political systems and organisations",SOCIAL STRATIFICATION AND GROUPINGS,Business/industrial management and organisation,OTHER,EDUCATION,EDUCATION,,
run10,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Vocational education and training,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,,,,,EDUCATION,EDUCATION,,Economics
run5,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,"Government, political systems and organisations",SOCIAL STRATIFICATION AND GROUPINGS,Business/industrial management and organisation,OTHER,EDUCATION,EDUCATION,,
run8,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,Economics,Economics,Economics,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,EDUCATION,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,,,,,EDUCATION,EDUCATION,,OTHER
run9,OTHER,EDUCATION,OTHER,Economics,Economics,Economics,Economics,Economics,Economics,Economics,EDUCATION,TRANSPORT AND TRAVEL,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Economics,Vocational education and training,Economics,Economics,Foreign trade,Foreign trade,Economics,Economics,Economics,Economics,Economics,,,,,EDUCATION,EDUCATION,,OTHER
