run_index,ID,Sex,Age At December31,Type Of Figure,Periods,Life Expectancy,Life Expectancy In Perceived Good Health,LEWithout Moderate Severe Limitations,LEWithout Severe Limitations,LEWithout Light Moderate Severe Lim,LEWithout Chronic Morbidity,LEWithout Chr Morb Excl Hypertension,LEWithout Psychological Complaints,Life Expectancy Without GALILimitations,Life Exp Without Severe GALILimitations
run1,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run2,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run3,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run7,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run6,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run4,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run10,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run5,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run8,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
run9,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),OTHER,OTHER,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH,HEALTH
