run_index,ID,Type Of Monument,Regions,Periods,Listed Monuments And Historic Buildings
run1,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run2,OTHER,NOT_FOUND,HISTORY,HISTORY,NOT_FOUND
run3,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run7,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run6,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run4,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run10,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run5,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run8,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
run9,OTHER,Cultural and national identity,OTHER,HISTORY,Cultural and national identity
