run_index,ID,Farm Animals,Periods,Livestock
run1,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
run2,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
run3,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
run7,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND
run6,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND
run4,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
run10,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
run5,OTHER,Agriculture and rural industry,OTHER,Agriculture and rural industry
run8,OTHER,NOT_FOUND,NOT_FOUND,NOT_FOUND
run9,OTHER,Agriculture and rural industry,Time use,Agriculture and rural industry
