run_index,ID,Periods,Volume,Fat Content,Protein Content,Butter,Cheese,Total Milk Powder,Whole Milk Powder,Skimmed Milk Powder,Concentrated Milk,Whey Powder
run1,OTHER,Time use,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run2,OTHER,Time use,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run3,OTHER,OTHER,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run7,OTHER,OTHER,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run6,OTHER,Time use,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run4,OTHER,OTHER,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run10,OTHER,Time use,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run5,OTHER,OTHER,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run8,OTHER,Time use,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
run9,OTHER,OTHER,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry,Agriculture and rural industry
