run_index,ID,Travel Motives,Population,Travel Modes,Margins,Region Characteristics,Periods,Trips,Distance Travelled,Time Travelled
run1,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run2,OTHER,SOCIAL STRATIFICATION AND GROUPINGS,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run3,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run7,OTHER,Social conditions and indicators,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run6,OTHER,Social conditions and indicators,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run4,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run10,OTHER,Social conditions and indicators,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run5,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND
run8,OTHER,Social conditions and indicators,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
run9,OTHER,Social conditions and indicators,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),TRANSPORT AND TRAVEL,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Time use,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL,TRANSPORT AND TRAVEL
