run_index,ID,Plant Protection Products,Periods,Sales Active Ingredient,Sales Active Ingredient Indexnumber
run1,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run2,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run3,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run7,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run6,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run4,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run10,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run5,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run8,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
run9,OTHER,Agriculture and rural industry,OTHER,NOT_FOUND,OTHER
