run_index,ID,Periods,Population At Start Of Selected Period,Live Births,Deaths,Immigration,Emigration Including Administrative C,Net Corrections,Total Population Growth,Population At End Of Selected Period
run1,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run2,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run3,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run7,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run6,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run4,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run10,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run5,OTHER,NOT_FOUND,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run8,OTHER,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
run9,OTHER,Time use,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Migration,Migration,OTHER,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES)
