run_index,ID,Education Sectors,Periods,Total Expenditure On Education,Total Government,Total On Education Institutions,Lump Sum Financing,Contract Research,Operating Costs,Total Subsidies And Tax Benefits,Education Component Preschool Day Care,Transport Of Pupils,Provisions For Disabled Students,Allowance For School Costs,Supervising Costs Of Companies,Student Grants,Student Loans,Total Receipts,EUSubsidies,Repaid Student Grants And Loans And,Interest On Student Loans,Repayments On Student Loans,Total Expenditure By Households,Tuition Fees Subsidised Institutions,Tuition Fees Private Institutions,Parental Contribution School Activities,Total Other Expenditures On Education,Books Materials Public Transport And,Wrongfully Received Student Grants And,Total Allowances Received,Child Care Allowance Education Component,Allowances For School Costs,Scholarships Of Companies,Student Grants For School Fees Books,Student Grants For The Cost Of Living,Total Companies,Total On Education Institutes,Supervising Trainees And Apprentices,Total Other Expenditure On Education,Total Subsidies Received,Total Foreign Countries,International Funds,In Of GDP,Per Capita,Total Government Exp On Education,In Of Total Government Expenditure,Total In Of GDP,Government,Households Companies Foreign Countries,Per Student Including RD,Per Student Excluding RD,Repaid Student Grants And Loans And Interest On Student Loans,Total Expenditure On Education In Of GDP,Total Government Exp On Education In Of GDP
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,Social conditions and indicators,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Reproductive health,Specific social services: use and availability,Business/industrial management and organisation,Specific social services: use and availability,Specific social services: use and availability,Economic conditions and indicators,Foreign trade,Specific social services: use and availability,Medication and treatment,Specific social services: use and availability,Economic conditions and indicators,Compulsory and pre-school education,Compulsory and pre-school education,Social conditions and indicators,"Economic policy, public expenditure and revenue",Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",Business/industrial management and organisation,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Social conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,,,
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,OTHER,EDUCATION,Economics,EDUCATION,Economics,SCIENCE AND TECHNOLOGY,Economics,Economics,Compulsory and pre-school education,TRANSPORT AND TRAVEL,Reproductive health,Specific social services: use and availability,Business/industrial management and organisation,Specific social services: use and availability,"Income, property and investment/saving",Economics,Foreign trade,,Medication and treatment,"Income, property and investment/saving",Social conditions and indicators,Compulsory and pre-school education,Higher and further education,Family life and marriage,EDUCATION,Cultural activities and participation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,EDUCATION,Business/industrial management and organisation,EDUCATION,Economics,International politics and organisations,International politics and organisations,Economics,Economics,Economics,Economics,Economics,"Government, political systems and organisations",Social conditions and indicators,EDUCATION,EDUCATION,"Income, property and investment/saving",,
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,OTHER,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",NOT_FOUND,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,"Income, property and investment/saving",Business/industrial management and organisation,Specific social services: use and availability,Specific social services: use and availability,Economic conditions and indicators,Foreign trade,Specific social services: use and availability,Medication and treatment,Specific social services: use and availability,Economic conditions and indicators,Compulsory and pre-school education,Higher and further education,Family life and marriage,"Economic policy, public expenditure and revenue",Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,NOT_FOUND,Business/industrial management and organisation,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Foreign trade,Foreign trade,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",SOCIAL STRATIFICATION AND GROUPINGS,Economic conditions and indicators,Economic conditions and indicators,,,
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,Time use,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",EDUCATION,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,Specific social services: use and availability,Business/industrial management and organisation,Specific social services: use and availability,Specific social services: use and availability,Economic conditions and indicators,Foreign trade,,Medication and treatment,Medication and treatment,Social conditions and indicators,Higher and further education,Higher and further education,Family life and marriage,"Economic policy, public expenditure and revenue",Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,Social welfare systems/structures,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,EDUCATION,Business/industrial management and organisation,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Social welfare systems/structures,EDUCATION,EDUCATION,Specific social services: use and availability,,
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,OTHER,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",NOT_FOUND,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Reproductive health,Specific social services: use and availability,LABOUR AND EMPLOYMENT,Specific social services: use and availability,Specific social services: use and availability,"Economic policy, public expenditure and revenue",Foreign trade,Specific social services: use and availability,Specific social services: use and availability,Specific social services: use and availability,Social welfare systems/structures,Higher and further education,Higher and further education,Family life and marriage,Social welfare systems/structures,Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,Social welfare systems/structures,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,NOT_FOUND,Labour and employment policy,Social welfare systems/structures,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,Social welfare systems/structures,EDUCATION,EDUCATION,,,
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,OTHER,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",NOT_FOUND,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,Specific social services: use and availability,Business/industrial management and organisation,Specific social services: use and availability,Specific social services: use and availability,Economic conditions and indicators,Foreign trade,,Medication and treatment,Specific social services: use and availability,Social conditions and indicators,Compulsory and pre-school education,Compulsory and pre-school education,Family life and marriage,Specific social services: use and availability,Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,Social welfare policy,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,NOT_FOUND,Business/industrial management and organisation,Specific social services: use and availability,"Economic policy, public expenditure and revenue",Foreign trade,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,NOT_FOUND,Social conditions and indicators,Economic conditions and indicators,Economic conditions and indicators,Specific social services: use and availability,,
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,OTHER,EDUCATION,Economics,EDUCATION,Economics,SCIENCE AND TECHNOLOGY,Economics,Economics,Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,Specific social services: use and availability,LABOUR AND EMPLOYMENT,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Economics,Foreign trade,,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Higher and further education,Higher and further education,SOCIAL WELFARE POLICY AND SYSTEMS,EDUCATION,Cultural activities and participation,SOCIAL WELFARE POLICY AND SYSTEMS,Specific social services: use and availability,SOCIAL WELFARE POLICY AND SYSTEMS,Specific social services: use and availability,Elites and leadership,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,EDUCATION,LABOUR AND EMPLOYMENT,EDUCATION,Economics,OTHER,International politics and organisations,Economics,Economics,Economics,Economics,Economics,POLITICS,OTHER,Economics,Economics,SOCIAL WELFARE POLICY AND SYSTEMS,,
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,Time use,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,Specific social services: use and availability,LABOUR AND EMPLOYMENT,Specific social services: use and availability,Specific social services: use and availability,Economic conditions and indicators,Foreign trade,Specific social services: use and availability,Medication and treatment,Specific social services: use and availability,Social conditions and indicators,Higher and further education,Higher and further education,Family life and marriage,Economic conditions and indicators,Cultural activities and participation,Specific social services: use and availability,Specific social services: use and availability,SOCIAL WELFARE POLICY AND SYSTEMS,Specific social services: use and availability,Elites and leadership,Specific social services: use and availability,Specific social services: use and availability,Business/industrial management and organisation,"Economic policy, public expenditure and revenue",LABOUR AND EMPLOYMENT,Economic conditions and indicators,"Economic policy, public expenditure and revenue",International politics and organisations,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",Social conditions and indicators,EDUCATION,EDUCATION,,,
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Economics,EDUCATION,Economics,SCIENCE AND TECHNOLOGY,Economics,Economics,Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,"Income, property and investment/saving",LABOUR AND EMPLOYMENT,SOCIAL STRATIFICATION AND GROUPINGS,SOCIAL STRATIFICATION AND GROUPINGS,Economics,Economics,,SOCIAL STRATIFICATION AND GROUPINGS,SOCIAL STRATIFICATION AND GROUPINGS,Economics,Higher and further education,Higher and further education,Family life and marriage,EDUCATION,Cultural activities and participation,SOCIAL STRATIFICATION AND GROUPINGS,SOCIAL STRATIFICATION AND GROUPINGS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL STRATIFICATION AND GROUPINGS,Elites and leadership,SOCIAL STRATIFICATION AND GROUPINGS,SOCIAL STRATIFICATION AND GROUPINGS,Business/industrial management and organisation,EDUCATION,LABOUR AND EMPLOYMENT,EDUCATION,Economics,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),,Economics,Economics,"Government, political systems and organisations",DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Economics,Economics,SOCIAL STRATIFICATION AND GROUPINGS,Economics,Economics
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),EDUCATION,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,"Economic policy, public expenditure and revenue",SCIENCE AND TECHNOLOGY,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Compulsory and pre-school education,TRANSPORT AND TRAVEL,Compulsory and pre-school education,"Income, property and investment/saving",Labour and employment policy,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue",Foreign trade,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue",Compulsory and pre-school education,Higher and further education,SOCIAL WELFARE POLICY AND SYSTEMS,"Economic policy, public expenditure and revenue",Cultural activities and participation,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Elites and leadership,SOCIAL WELFARE POLICY AND SYSTEMS,SOCIAL WELFARE POLICY AND SYSTEMS,Business/industrial management and organisation,Compulsory and pre-school education,Labour and employment policy,"Economic policy, public expenditure and revenue","Economic policy, public expenditure and revenue",Foreign trade,International politics and organisations,Economic conditions and indicators,Economic conditions and indicators,"Economic policy, public expenditure and revenue",Economic conditions and indicators,Economic conditions and indicators,"Government, political systems and organisations",SOCIAL WELFARE POLICY AND SYSTEMS,Economic conditions and indicators,Economic conditions and indicators,,,
