run_index,ID,Type Of Monument,Regions,Periods,Listed Monuments And Historic Buildings
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),HISTORY,NOT_FOUND,HISTORY,HISTORY
