run_index,ID,Farm Animals,Periods,Livestock
run1,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run2,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run3,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run7,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run6,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run4,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run10,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run5,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run8,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
run9,DEMOGRAPHY (POPULATION VITAL STATISTICS AND CENSUSES),Agriculture and rural industry,Time use,Agriculture and rural industry
